"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Liens entrants","Temps de réponse","URL de redirection","Type de redirection"
"https://www.casapy.com/","text/html; charset=UTF-8","200","OK","Indexable","","216","3,465","",""
"https://www.casapy.com/wp-content/uploads/2026/01/xts-header_767540-1769159373.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,094","",""
"https://www.casapy.com/wp-content/plugins/woocommerce/assets/js/frontend/order-attribution.min.js?ver=10.5.1","application/javascript","200","OK","Indexable","","0","0,116","",""
"https://www.casapy.com/wp-content/plugins/elementor/assets/lib/swiper/v8/swiper.min.js?ver=8.4.5","application/javascript","200","OK","Indexable","","0","0,130","",""
"https://fonts.googleapis.com/css?family=Poppins%3A400%2C600%2C500%2C700|Lato%3A400%2C700%2C300&ver=7.5.1","text/css; charset=utf-8","200","OK","Indexable","","0","0,013","",""
"https://www.casapy.com/wp-includes/js/imagesloaded.min.js?ver=5.0.0","application/javascript","200","OK","Indexable","","0","0,070","",""
"https://www.casapy.com/wp-content/uploads/2026/01/B000495_CASAPY_VEGA_XL_LINCOLN_TERRA_AMB3-430x430.jpg","image/jpeg","200","OK","Indexable","","0","0,088","",""
"https://www.casapy.com/wp-content/themes/woodmart/css/parts/widget-nav.min.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,097","",""
"https://www.casapy.com/wp-content/themes/woodmart/css/parts/woo-product-loop-alt.min.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,110","",""
"https://www.casapy.com/wp-content/plugins/woo-stripe-payment/assets/js/frontend/wc-stripe.min.js?ver=3.3.101","application/javascript","200","OK","Indexable","","0","0,092","",""
"https://www.pinterest.com/pin/create/button/?description=VEGA%20Portland%20–%20convertible%20Taille%20S%20(3%20places)%20251×100&url=https://www.casapy.com/produit/vega-portland-convertible-taille-s-3-places-251x100/&media=https://www.casapy.com/wp-content/uploads/2026/01/CASAPY-VEGA-S-CV3-PORTLAND-MARINE-AMB-1.jpg","","0","Bloqué par robots.txt","Non indexable","Bloqué par robots.txt","15","","",""
"https://www.casapy.com/wp-content/plugins/devvn-image-hotspot/frontend/js/maps_points.js?ver=1.3.0","application/javascript","200","OK","Indexable","","0","0,079","",""
"https://www.casapy.com/wp-content/uploads/2026/01/B000356__CASAPY_VEGA_L_LINCOLN_KAKI_AMB2.jpg","image/jpeg","200","OK","Indexable","","1","0,086","",""
"https://www.casapy.com/wp-content/themes/woodmart/js/scripts/global/btnsToolTips.min.js?ver=7.5.1","application/javascript","200","OK","Indexable","","0","0,104","",""
"https://www.casapy.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5","text/css","200","OK","Indexable","","0","0,113","",""
"https://www.casapy.com/wp-content/themes/woodmart/css/parts/header-base.min.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,108","",""
"https://www.casapy.com/wp-content/themes/woodmart/css/parts/mod-highlighted-text.min.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,097","",""
"https://ct.pinterest.com/v3/?tid=2613085494397&noscript=1","","0","Bloqué par robots.txt","Non indexable","Bloqué par robots.txt","0","","",""
"https://www.casapy.com/wp-content/uploads/2026/01/Design-sans-titre-2026-01-13T164649.982.png","image/png","200","OK","Indexable","","1","0,104","",""
"https://www.casapy.com/wp-content/themes/woodmart/js/scripts/wc/variationsPrice.min.js?ver=7.5.1","application/javascript","200","OK","Indexable","","0","0,076","",""
"https://www.casapy.com/wp-content/uploads/2025/04/logo-casapy-HD-1.pdf-1.png","image/png","200","OK","Indexable","","0","0,072","",""
"https://www.casapy.com/wp-content/themes/woodmart/css/parts/woo-mod-swatches-style-1.min.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,077","",""
"https://www.casapy.com/wp-content/themes/woodmart/css/parts/header-el-cart.min.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,080","",""
"https://www.casapy.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart-variation.min.js?ver=10.5.1","application/javascript","200","OK","Indexable","","0","0,072","",""
"https://www.casapy.com/wp-content/themes/woodmart/css/parts/woocommerce-base.min.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,062","",""
"https://www.casapy.com/wp-content/themes/woodmart/css/parts/opt-widget-collapse.min.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,069","",""
"https://www.casapy.com/wp-content/uploads/2026/01/xts-theme_settings_default-1769523397.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,078","",""
"https://www.casapy.com/wp-content/uploads/elementor/css/post-1550.css?ver=1771237807","text/css","200","OK","Indexable","","0","0,071","",""
"https://www.casapy.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.35.4","text/css","200","OK","Indexable","","0","0,063","",""
"https://www.casapy.com/wp-content/themes/woodmart/js/scripts/wc/onRemoveFromCart.min.js?ver=7.5.1","application/javascript","200","OK","Indexable","","0","0,082","",""
