"Adresse","Type de contenu","Code HTTP","Statut","Crawl profondeur","Liens entrants"
"https://fonts.googleapis.com/css?family=Poppins%3A400%2C600%2C500%2C700|Lato%3A400%2C700%2C300&ver=7.5.1","text/css; charset=utf-8","200","OK","1","0"
"https://www.pinterest.com/pin/create/button/?description=VEGA%20Portland%20–%20convertible%20Taille%20S%20(3%20places)%20251×100&url=https://www.casapy.com/produit/vega-portland-convertible-taille-s-3-places-251x100/&media=https://www.casapy.com/wp-content/uploads/2026/01/CASAPY-VEGA-S-CV3-PORTLAND-MARINE-AMB-1.jpg","","0","Bloqué par robots.txt","1","15"
"https://ct.pinterest.com/v3/?tid=2613085494397&noscript=1","","0","Bloqué par robots.txt","1","0"
"https://www.pinterest.com/pin/create/button/?description=VEGA%20Lincoln%20–%20convertible%20Taille%20L%20%20%20(5%20places)%20260×183&url=https://www.casapy.com/produit/vega-lincoln-convertible-taille-l-5-places-260x183/&media=https://www.casapy.com/wp-content/uploads/2026/01/B000356__CASAPY_VEGA_L_LINCOLN_KAKI_AMB.jpg","","0","Bloqué par robots.txt","1","17"
"https://cdn.jsdelivr.net/npm/@alma/widgets@4.X.X/dist/widgets.min.css?ver=4.x.x","text/css; charset=utf-8","200","OK","1","0"
"https://www.pinterest.com/pin/create/button/?description=VEGA%20Lincoln%20–%20convertible%20Taille%20S%20(3%20places)%20251×100&url=https://www.casapy.com/produit/vega-lincoln-convertible-taille-s-3-places-251x100/&media=https://www.casapy.com/wp-content/uploads/2026/02/A145199-B00_CASAPY_VEGA_S-CV3_LINCOLN_TERRA_AMB6.jpg","","0","Bloqué par robots.txt","1","14"
"https://fonts.googleapis.com/css?family=Roboto:100,100italic,200,200italic,300,300italic,400,400italic,500,500italic,600,600italic,700,700italic,800,800italic,900,900italic&display=swap","text/css; charset=utf-8","200","OK","1","0"
"https://pay.google.com/gp/p/js/pay.js?ver=3.3.101","application/javascript; charset=utf-8","200","OK","1","0"
"https://www.pinterest.com/pin/create/button/?description=SIRIUS%20Lincoln%20–%20convertible%20Taille%20XL%20(6%20places)%20344×219&url=https://www.casapy.com/produit/sirius-lincoln-convertible-taille-xl-6-places-344x219-copie/&media=https://www.casapy.com/wp-content/uploads/2026/01/B001469_CASAPY_SIRIUS_XL_LINCOLN_PERLE_AMB.jpg","","0","Bloqué par robots.txt","1","19"
"https://www.pinterest.com/pin/create/button/?description=SIRIUS%20Boston%20–%20convertible%20Taille%20XL%20(6%20places)%20344×219&url=https://www.casapy.com/produit/sirius-boston-convertible-taille-xl-6-places-344x219/","","0","Bloqué par robots.txt","1","21"
"https://www.pinterest.com/pin/create/button/?description=VEGA%20Lincoln%20–%20convertible%20Taille%20XL%20(6%20places)%20344×219&url=https://www.casapy.com/produit/vega-lincoln-convertible-taille-xl-6-places-344x219/&media=https://www.casapy.com/wp-content/uploads/2026/01/B000495_CASAPY_VEGA_XL_LINCOLN_TERRA_AMB-1.jpg","","0","Bloqué par robots.txt","1","12"
"https://js.stripe.com/v3/?ver=3.3.101","","0","Bloqué par robots.txt","1","0"
"https://www.pinterest.com/pin/create/button/?description=VEGA%20Riviera%20–%20convertible%20Taille%20S%20(3%20places)%20251×100&url=https://www.casapy.com/produit/vega-riviera-convertible-taille-s-3-places-251x100/&media=https://www.casapy.com/wp-content/uploads/2026/01/A145193-Generated-Image-January-09-2026-3_46PM-800x800.jpeg","","0","Bloqué par robots.txt","1","15"
"https://www.instagram.com/casapy_france/","text/html; charset=""utf-8""","200","OK","1","29"
"https://www.pinterest.com/pin/create/button/?description=VEGA%20M%20Portland%20–%20convertible%20taille%20M%20(4%20places)%20255×148&url=https://www.casapy.com/produit/vega-portland-convertible-taille-m-4-places-255x148/&media=https://www.casapy.com/wp-content/uploads/2026/01/A144229-VEGA-M-PORTLAND-SABLE_AMB1.jpg","","0","Bloqué par robots.txt","1","16"
"https://fonts.googleapis.com/css?family=Roboto+Slab:100,100italic,200,200italic,300,300italic,400,400italic,500,500italic,600,600italic,700,700italic,800,800italic,900,900italic&display=swap","text/css; charset=utf-8","200","OK","1","0"
"https://www.pinterest.com/pin/create/button/?description=ALYA%20S%20Riviera%20–%20convertible%20Taille%20S%20(3%20places)%20251×100&url=https://www.casapy.com/produit/alya-riviera-convertible-taille-s-3-places-251x100/&media=https://www.casapy.com/wp-content/uploads/2026/01/B001507_CASAPY_ALYA_S_CV3_RIVIERA_TAUPE_AMB.jpg","","0","Bloqué par robots.txt","2","17"
"https://www.pinterest.com/pin/create/button/?description=VEGA%20Portland%20–%20convertible%20Taille%20XL%20(6%20places)%20344×219&url=https://www.casapy.com/produit/canape-vega-xl-multifonction/&media=https://www.casapy.com/wp-content/uploads/2026/01/B000483_CASAPY_VEGA_L_PORTLAND_SABLE_AMB1-1.jpg","","0","Bloqué par robots.txt","2","17"
"https://www.pinterest.com/pin/create/button/?description=ALYA%20Lincoln%20–%20convertible%20Taille%20XL%20(6%20places)%20344×219&url=https://www.casapy.com/produit/alya-lincoln-convertible-taille-xl-6-places-344x219/&media=https://www.casapy.com/wp-content/uploads/2025/09/ALYA-XL-PERLE-AMB-800_800-1.jpg","","0","Bloqué par robots.txt","2","25"
"https://www.pinterest.com/pin/create/button/?description=ALYA%20Boston%20–%20convertible%20Taille%20XL%20(6%20places)%20344×219&url=https://www.casapy.com/produit/alya-boston-convertible-taille-xl-6-places-344x219/&media=https://www.casapy.com/wp-content/uploads/2025/11/coming-soon.png","","0","Bloqué par robots.txt","2","22"
"https://www.pinterest.com/pin/create/button/?description=SIRIUS%20Boston%20–%20convertible%20Taille%20M%20(4%20places)%20255×148&url=https://www.casapy.com/produit/sirius-boston-convertible-taille-m-4-places-255x148/&media=https://www.casapy.com/wp-content/uploads/2025/11/A145045_CASAPY_SIRIUS_M_BOSTON_OCEAN_ANGLE_AMB2_800_800.jpg","","0","Bloqué par robots.txt","2","23"
"https://www.pinterest.com/pin/create/button/?description=SIRIUS%20Boston%20–%20convertible%20Taille%20S%20(3%20places)%20251×100&url=https://www.casapy.com/produit/sirius-boston-convertible-taille-s-3-places-251x100/&media=https://www.casapy.com/wp-content/uploads/2025/09/B001563_CASAPY_SIRIUS_S_BOSTON_LIGHTGREY_DROIT_3QD.png","","0","Bloqué par robots.txt","2","22"
"https://www.pinterest.com/pin/create/button/?description=ALYA%20Lincoln%20–%20convertible%20Taille%20M%20(4%20places)%20255×148&url=https://www.casapy.com/produit/alya-lincoln-convertible-taille-m-4-places-255x148/&media=https://www.casapy.com/wp-content/uploads/2026/02/A144134_CASAPY_ALYA_M_LINCOLN_TERRA_AMB.jpg","","0","Bloqué par robots.txt","2","23"
"https://www.pinterest.com/pin/create/button/?description=ALYA%20Lincoln%20–%20convertible%20Taille%20S%20(3%20places)%20251×100&url=https://www.casapy.com/produit/alya-lincoln-convertible-taille-s/&media=https://www.casapy.com/wp-content/uploads/2026/02/B001513_CASAPY_ALYA_S_CV3_LINCOLN_KAKI_AMB.jpg","","0","Bloqué par robots.txt","2","22"
"https://www.pinterest.com/pin/create/button/?description=VEGA%20Lincoln%20–%20convertible%20taille%20M%20(4%20places)%20255×148&url=https://www.casapy.com/produit/vega-canape-m-multifonction/&media=https://www.casapy.com/wp-content/uploads/2026/01/A144233-VEGA-M-LINCOLN-TERRACOTTA_AMB1.jpg","","0","Bloqué par robots.txt","2","12"
"https://www.pinterest.com/pin/create/button/?description=VEGA%20Portland%20–%20convertible%20Taille%20L%20(5%20places)%20260×183&url=https://www.casapy.com/produit/vega-canape-l-multifonction/&media=https://www.casapy.com/wp-content/uploads/2025/11/B000393_CASAPY_VEGA_L_PORTLAND_MARINE_AMB.jpg","","0","Bloqué par robots.txt","2","14"
"https://www.pinterest.com/pin/create/button/?description=SIRIUS%20L%20Lincoln%20–%20convertible%20Taille%20L%20(5%20places)%20260×183&url=https://www.casapy.com/produit/sirius-lincoln-convertible-taille-l-5-places-260x183/&media=https://www.casapy.com/wp-content/uploads/2026/01/A144090_Casapy_Sirius_L_Lincoln_TERRA_AMB1.jpg","","0","Bloqué par robots.txt","2","18"
"https://www.pinterest.com/pin/create/button/?description=SIRIUS%20Lincoln%20–%20convertible%20Taille%20M%20(4%20places)%20255×148&url=https://www.casapy.com/produit/sirius-lincoln-convertible-taille-m-4-places-255x148/&media=https://www.casapy.com/wp-content/uploads/2026/02/A145028_CASAPY-SIRIUS_M_LINCOLN_ANTHRA_AMB.jpg","","0","Bloqué par robots.txt","2","16"
"https://www.pinterest.com/pin/create/button/?description=SIRIUS%20Lincoln%20–%20convertible%20Taille%20S%20(3%20places)%20251×100&url=https://www.casapy.com/produit/sirius-lincoln-convertible-taille-s-3-places-251x100/&media=https://www.casapy.com/wp-content/uploads/2026/01/B00154_CASAPY_SIRIUS_S_CV3_LINCOLN_PERLE_01_AMB.jpg","","0","Bloqué par robots.txt","2","14"
"https://www.pinterest.com/pin/create/button/?description=WOUF%20by%20CASAPY,%20le%20canapé%20pour%20chiens%20et%20chats.%20Déhoussable%2085cm%20x%2066cm&url=https://www.casapy.com/produit/wouf-by-casapy-le-canape-pour-chiens-et-chats-dehoussable-85cm-x-66cm/&media=https://www.casapy.com/wp-content/uploads/2026/01/B004575_CASAPY_CASADOG_WOUF_BOSTON_OCEAN_AMB8.jpg","","0","Bloqué par robots.txt","2","8"
"https://cdn.jsdelivr.net/npm/@alma/widgets@4.X.X/dist/widgets.umd.js?ver=4.x.x","application/javascript; charset=utf-8","200","OK","2","0"
"https://www.pinterest.com/pin/create/button/?description=ALYA%20Boston%20–%20convertible%20Taille%20S%20(3%20places)%20251×100&url=https://www.casapy.com/produit/alya-boston-convertible-taille-s-3-places-251x100/&media=https://www.casapy.com/wp-content/uploads/2026/01/B001534_CASAPY_ALYA_S_BOSTON_LGREY_AMB.jpg","","0","Bloqué par robots.txt","2","17"
"https://www.pinterest.com/pin/create/button/?description=ALYA%20Boston%20–%20convertible%20Taille%20M%20(4%20places)%20255×148&url=https://www.casapy.com/produit/alya-boston-convertible-taille-m-4-places-255x148/&media=https://www.casapy.com/wp-content/uploads/2025/11/A144187_CASAPY_ALYA_M_BOSTON_OCEAN_ANGLE_AMB1-800_800.jpg","","0","Bloqué par robots.txt","2","20"
"https://www.pinterest.com/pin/create/button/?description=ALYA%20Boston%20–%20convertible%20Taille%20L%20(5%20places)%20260×183&url=https://www.casapy.com/produit/alya-convertible-taille-l-5-places-260x183-copie/&media=https://www.casapy.com/wp-content/uploads/2025/09/ALYA-L-LINCOLN-ANTHRA-AMB-800_800.jpg","","0","Bloqué par robots.txt","2","20"
"https://www.pinterest.com/pin/create/button/?description=ALYA%20Lincoln%20–%20convertible%20Taille%20L%20(5%20places)%20260×183&url=https://www.casapy.com/produit/alya-lincoln-convertible-taille-l-5-places-260x183/&media=https://www.casapy.com/wp-content/uploads/2026/01/A145063_CASAPY_ALYA_L_LINCOLN_ANTHRA_AMB.jpg","","0","Bloqué par robots.txt","2","17"
"https://www.pinterest.com/pin/create/button/?description=SIRIUS%20Boston%20–%20convertible%20Taille%20L%20(5%20places)%20260×183&url=https://www.casapy.com/produit/sirius-boston-convertible-taille-l-5-places-260x183/&media=https://www.casapy.com/wp-content/uploads/2026/02/A144126_CASAPY_SIRIUS_L_BOSTON_LG_AMB1.jpg","","0","Bloqué par robots.txt","2","20"
