"Chemin d'accès 1","Chemin d'accès 2","Chemin d'accès 3","URL","Indexable","Non indexable"
"https/","","","464","456","8"
"","www.casapy.com/","","464","456","8"
"","","wp-content/","383","382","1"
"","","produit/","28","28","0"
"","","categorie-produit/","21","21","0"
"","","wp-includes/","14","14","0"
"","","mon-compte/","3","0","3"
"","","shop/","2","1","1"
"","","compare/","1","1","0"
"","","?page_id=3&preview=true","1","0","1"
"","","liberez-lespace/","1","1","0"
"","","panier/","1","0","1"
"","","about-us-3/","1","1","0"
"","","?s=vega+xl&post_type=product","1","0","1"
"","","mentions-legales/","1","1","0"
"","","wishlist/","1","1","0"
"","","conditions-generales-dutilisation-et-protection-des-donnees/","1","1","0"
"","","contact-us/","1","1","0"
"","","nos-collections/","1","1","0"
"","","cgv/","1","1","0"
