"Adresse","Indexabilité","Statut d'indexabilité","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien en version canonique 1","Version canonique HTTP","Meta Robots 1","Balise X-Robots 1"
"https://www.casapy.com/","Indexable","","","","","","https://www.casapy.com/","","max-image-preview:large",""
"https://www.casapy.com/compare/","Indexable","","","","","","https://www.casapy.com/compare/","","max-image-preview:large",""
"https://www.casapy.com/categorie-produit/notre-selection-velours-a-plat/","Indexable","","","","","","","","max-image-preview:large",""
"https://www.casapy.com/categorie-produit/canapes-en-u-convertibles/","Indexable","","","","","","","","max-image-preview:large",""
"https://www.casapy.com/categorie-produit/tu-habites-un-appartement/","Indexable","","","","","","","","max-image-preview:large",""
"https://www.casapy.com/produit/sirius-boston-convertible-taille-xl-6-places-344x219/","Indexable","","","","","","https://www.casapy.com/produit/sirius-boston-convertible-taille-xl-6-places-344x219/","","max-image-preview:large",""
"https://www.casapy.com/produit/vega-lincoln-convertible-taille-xl-6-places-344x219/","Indexable","","","","","","https://www.casapy.com/produit/vega-lincoln-convertible-taille-xl-6-places-344x219/","","max-image-preview:large",""
"https://www.casapy.com/categorie-produit/les-sirius/","Indexable","","","","","","","","max-image-preview:large",""
"https://www.casapy.com/categorie-produit/canapes-dangle-convertibles/","Indexable","","","","","","","","max-image-preview:large",""
"https://www.casapy.com/liberez-lespace/","Indexable","","","","","","https://www.casapy.com/liberez-lespace/","","max-image-preview:large",""
"https://www.casapy.com/mon-compte/","Non indexable","noindex","","","","","https://www.casapy.com/mon-compte/","","max-image-preview:large, noindex, follow",""
"https://www.casapy.com/produit/wouf-by-casapy-le-canape-pour-chiens-et-chats-dehoussable-85cm-x-66cm/","Indexable","","","","","","https://www.casapy.com/produit/wouf-by-casapy-le-canape-pour-chiens-et-chats-dehoussable-85cm-x-66cm/","","max-image-preview:large",""
"https://www.casapy.com/produit/33741/","Indexable","","","","","","https://www.casapy.com/produit/33741/","","max-image-preview:large",""
"https://www.casapy.com/panier/","Non indexable","noindex","","","","","https://www.casapy.com/panier/","","max-image-preview:large, noindex, follow",""
"https://www.casapy.com/categorie-produit/tu-habites-un-studio/","Indexable","","","","","","","","max-image-preview:large",""
"https://www.casapy.com/produit/vega-lincoln-convertible-taille-s-3-places-251x100/","Indexable","","","","","","https://www.casapy.com/produit/vega-lincoln-convertible-taille-s-3-places-251x100/","","max-image-preview:large",""
"https://www.casapy.com/categorie-produit/canapes-droits-convertibles/","Indexable","","","","","","","","max-image-preview:large",""
"https://www.casapy.com/about-us-3/","Indexable","","","","","","https://www.casapy.com/about-us-3/","","max-image-preview:large",""
"https://www.casapy.com/mon-compte/?action=register","Non indexable","Canonisé,noindex","","","","","https://www.casapy.com/mon-compte/","","max-image-preview:large, noindex, follow",""
"https://www.casapy.com/?s=vega+xl&post_type=product","Non indexable","noindex","","","","","","","noindex, follow, max-image-preview:large",""
"https://www.casapy.com/categorie-produit/les-vega/","Indexable","","","","","","","","max-image-preview:large",""
"https://www.casapy.com/produit/sirius-lincoln-convertible-taille-xl-6-places-344x219-copie/","Indexable","","","","","","https://www.casapy.com/produit/sirius-lincoln-convertible-taille-xl-6-places-344x219-copie/","","max-image-preview:large",""
"https://www.casapy.com/mon-compte/lost-password/","Non indexable","Canonisé,noindex","","","","","https://www.casapy.com/mon-compte/","","max-image-preview:large, noindex, follow","noindex"
"https://www.casapy.com/categorie-produit/notre-selection-tissage-a-plat/","Indexable","","","","","","","","max-image-preview:large",""
