"Adresse","Occurrences","Indexabilité","Statut d'indexabilité","Élément de lien en version canonique 1","Version canonique HTTP","Meta Robots 1","Balise X-Robots 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.casapy.com/","1","Indexable","","https://www.casapy.com/","","max-image-preview:large","","","","",""
"https://www.casapy.com/compare/","1","Indexable","","https://www.casapy.com/compare/","","max-image-preview:large","","","","",""
"https://www.casapy.com/categorie-produit/notre-selection-velours-a-plat/","0","Indexable","","","","max-image-preview:large","","","","",""
"https://www.casapy.com/categorie-produit/canapes-en-u-convertibles/","0","Indexable","","","","max-image-preview:large","","","","",""
"https://www.casapy.com/categorie-produit/tu-habites-un-appartement/","0","Indexable","","","","max-image-preview:large","","","","",""
"https://www.casapy.com/produit/sirius-boston-convertible-taille-xl-6-places-344x219/","1","Indexable","","https://www.casapy.com/produit/sirius-boston-convertible-taille-xl-6-places-344x219/","","max-image-preview:large","","","","",""
"https://www.casapy.com/produit/vega-lincoln-convertible-taille-xl-6-places-344x219/","1","Indexable","","https://www.casapy.com/produit/vega-lincoln-convertible-taille-xl-6-places-344x219/","","max-image-preview:large","","","","",""
"https://www.casapy.com/categorie-produit/les-sirius/","0","Indexable","","","","max-image-preview:large","","","","",""
"https://www.casapy.com/categorie-produit/canapes-dangle-convertibles/","0","Indexable","","","","max-image-preview:large","","","","",""
"https://www.casapy.com/liberez-lespace/","1","Indexable","","https://www.casapy.com/liberez-lespace/","","max-image-preview:large","","","","",""
"https://www.casapy.com/mon-compte/","1","Non indexable","noindex","https://www.casapy.com/mon-compte/","","max-image-preview:large, noindex, follow","","","","",""
"https://www.casapy.com/produit/wouf-by-casapy-le-canape-pour-chiens-et-chats-dehoussable-85cm-x-66cm/","1","Indexable","","https://www.casapy.com/produit/wouf-by-casapy-le-canape-pour-chiens-et-chats-dehoussable-85cm-x-66cm/","","max-image-preview:large","","","","",""
