"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Liens entrants","Temps de réponse","URL de redirection","Type de redirection"
"https://fitclem.fr/pages/contact-form","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","102","0,042","",""
"https://fitclem.fr/blogs/conseils/comment-rester-motive-quand-la-balance-ne-bouge-plus","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","67","0,046","",""
"https://fitclem.fr/community/my","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","102","0,052","",""
"https://fitclem.fr/collections/les-cures-fitclem","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","127","0,035","",""
"https://fitclem.fr/pages/top-sante","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","103","0,034","",""
"https://fitclem.fr/collections/pates-a-tartiner","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","1","0,041","",""
"https://fitclem.fr/pages/les-incroyables-transformations","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","205","0,030","",""
"https://fitclem.fr/blogs/conseils/comment-se-lancer-dans-son-objectif-minceur-en-douceur","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","65","0,040","",""
"https://fitclem.fr/products/gelules-bruleur-plus","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","2","0,031","",""
"https://fitclem.fr/products/gelules-capteur-de-graisse","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","2","0,032","",""
"https://fitclem.fr/pages/notre-histoire","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","102","0,032","",""
"https://fitclem.fr/blogs/conseils/tagged/transformation","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","35","0,038","",""
"https://fitclem.fr/blogs/conseils/tagged/fitclem","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","39","0,045","",""
"https://fitclem.fr/blogs/conseils/tagged/fitness","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","39","0,042","",""
"https://fitclem.fr/blogs/conseils/tagged/sport","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","39","0,039","",""
"https://fitclem.fr/blogs/conseils/tagged/challenge","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","35","0,043","",""
"https://fitclem.fr/collections/nouveautes/products/shaker-minceur-veloute-de-legumes","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,036","",""
"https://fitclem.fr/collections/nouveautes/products/burner-max","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,043","",""
"https://fitclem.fr/collections/nouveautes/products/crunchy-chocolat-blanc","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,034","",""
"https://fitclem.fr/collections/nouveautes/products/the-sencha-edition-limitee-noel","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,034","",""
"https://fitclem.fr/collections/nouveautes/products/gummies-vitalite-famille","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,031","",""
"https://fitclem.fr/collections/nouveautes/products/omega-3-epax®","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,034","",""
"https://fitclem.fr/collections/nouveautes/products/ballotins-de-chocolat-edition-limitee-noel","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,041","",""
"https://fitclem.fr/collections/nouveautes/products/crunchy-choco-noisette","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,034","",""
"https://fitclem.fr/collections/nouveautes/products/pizza-proteinee","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,038","",""
"https://fitclem.fr/collections/nouveautes/products/gummies-nuits-paisibles","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,035","",""
"https://fitclem.fr/collections/nouveautes/products/gelules-minceur-plus-1","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,035","",""
"https://fitclem.fr/collections/nouveautes/products/cookie-pistache-chocolat-blanc","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,029","",""
"https://fitclem.fr/collections/nouveautes/products/barre-energie-banane-cacahuete","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,045","",""
"https://fitclem.fr/collections/nouveautes/products/granolas-proteines","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,033","",""
"https://fitclem.fr/collections/nouveautes/products/shaker-minceur-potiron","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,035","",""
"https://fitclem.fr/blogs/conseils/tagged/perte-de-poids-apres-50-ans","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","21","0,039","",""
"https://fitclem.fr/blogs/conseils/astuces-degonflement","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","8","0,029","",""
"https://fitclem.fr/blogs/conseils/tagged/conseils","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","20","0,033","",""
"https://fitclem.fr/blogs/conseils/menopause-agir-pour-se-sentir-bien-dans-son-corps-1","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","3","0,029","",""
"https://fitclem.fr/blogs/conseils/tagged/produits-fitclem","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","21","0,034","",""
"https://fitclem.fr/blogs/conseils/tagged/alimentation-menopause","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","21","0,030","",""
"https://fitclem.fr/blogs/conseils/tagged/bien-etre","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","22","0,030","",""
"https://fitclem.fr/blogs/conseils/comment-maintenir-la-discipline-au-quotidien","text/html; charset=UTF-8","429","Too Many Requests","Non indexable","Erreur client ","2","0,029","",""
