"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://fitclem.fr/cdn/shop/files/sliderminceur1.png?v=1754033159&width=162","image/png","35918","1","Indexable","",""
"https://fitclem.fr/cdn/shop/files/box-minceur-fitclem-4_ba675534-0794-4203-a9be-49deb7267681.png?v=1768647368&width=3840","image/png","403735","1","Indexable","",""
"https://fitclem.fr/cdn/shop/files/prix_top_sante_banner_web_fitclem_categorie_bien_manger.png?v=1766001687&width=3840","image/png","1429222","1","Indexable","",""
"https://fitclem.fr/cdn/shop/files/sliderminceur1.png?v=1754033159&width=1780","image/png","2563121","1","Indexable","",""
"https://fitclem.fr/cdn/shop/files/POST_INSTAGRAM_-_Templates_1080_x_1350_px_337_x_337_px_337_x_337_px_-_95.jpg?v=1753022308&width=1780","image/jpeg","21326","1","Indexable","",""
"https://fitclem.fr/cdn/shop/files/nos_collations_fitclem_mobile.png?v=1769545082&width=3840","image/png","865305","1","Indexable","",""
"https://fitclem.fr/cdn/shop/files/2_581a6784-96ed-43f1-93f6-474a2b02f377.png?v=1768837934&width=150","image/png","3582","3","Indexable","",""
"https://fitclem.fr/cdn/shop/files/6_0a73b69d-5687-40ad-9329-f017ebdfc25b.png?v=1768837935&width=150","image/png","3723","3","Indexable","",""
"https://fitclem.fr/cdn/shop/files/mockup_shaker_minceur_carre_1_2e67ace9-9f84-408a-8623-f9830dccf8cf.png?v=1769095985&width=162","image/png","37882","1","Indexable","",""
"https://fitclem.fr/cdn/shop/files/gummies-sommeil-fitclem-1.png?v=1770280404&width=3840","image/png","1725531","1","Indexable","",""
"https://fitclem.fr/cdn/shop/files/box-minceur-fitclem-6.png?v=1768648041&width=3840","image/png","1215843","1","Indexable","",""
"https://fitclem.fr/cdn/shop/files/5_ed2cf0cd-3c0f-45f8-b3f5-a68bf252adc8.png?v=1768837935&width=150","image/png","2693","3","Indexable","",""
"https://fitclem.fr/cdn/shop/files/IMG_0789.heic?v=1766090343&width=1500","image/jpeg","338588","1","Indexable","",""
"https://fitclem.fr/cdn/shop/files/7_ce845b55-4b8f-4e68-a6dd-0651cff0c581.png?v=1768837935&width=150","image/png","3630","3","Indexable","",""
"https://fitclem.fr/cdn/shop/files/prix_top_sante_banner_web_fitclem_categorie_bien_manger_d40dae29-6839-4e83-a95d-b3330f241784.png?v=1766001721&width=3840","image/png","713179","1","Indexable","",""
"https://fitclem.fr/cdn/shop/files/gummies-nuits-paisibles-fitclem.png?v=1770280805&width=3840","image/png","720345","1","Indexable","",""
"https://fitclem.fr/cdn/shop/files/CARROUSEL_720_x_720_px_55.png?v=1759406697&width=162","image/png","48109","1","Indexable","",""
"https://fitclem.fr/cdn/shop/files/POST_INSTAGRAM_-_Templates_1080_x_1350_px_337_x_337_px_337_x_337_px_-_63.jpg?v=1753022509&width=1780","image/jpeg","24061","1","Indexable","",""
"https://fitclem.fr/cdn/shop/files/Nos_collations_fitclem.png?v=1769545082&width=3840","image/png","2066310","1","Indexable","",""
"https://fitclem.fr/cdn/shop/files/1_ff61a0b7-588e-4050-baa7-e19829a9606c.png?v=1768837934&width=150","image/png","3487","3","Indexable","",""
