"Chemin d'accès 1","Chemin d'accès 2","Chemin d'accès 3","URL","Indexable","Non indexable"
"https/","","","439","300","139"
"","fitclem.fr/","","439","300","139"
"","","cdn/","297","259","38"
"","","collections/","68","8","60"
"","","blogs/","46","23","23"
"","","products/","11","7","4"
"","","pages/","6","2","4"
"","","policies/","4","0","4"
"","","search","1","0","1"
"","","checkouts/","1","0","1"
"","","cart","1","0","1"
"","","community/","1","0","1"
"","","img/","1","0","1"
"","","programmes-gratuits/","1","0","1"
