"Adresse","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Quasi-doublon le plus proche","Nombre de quasi-doublons","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Total des erreurs de langue","Erreurs d'orthographe","Erreurs de grammaire","Language","Hachage","Indexabilité","Statut d'indexabilité"
"https://www.infopro-digital.com/fr/","217","57","3,807","49,755","Difficile","","","","","","","","","","fr-FR","5de0aa71a08ff97cb132c2f72c387559","Indexable",""
"https://www.infopro-digital.com/fr/actualites/","156","52","3,000","57,367","Assez difficile","","","","","","","","","","fr-FR","448cdb07684adfb2cb1c3ea9d05cbf7e","Indexable",""
"https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/","544","66","8,242","64,260","Normal","","","","","","","","","","fr-FR","a01fcf23e3103f482426f97db2f45338","Indexable",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/","179","29","6,172","55,947","Assez difficile","","","","","","","","","","fr-FR","4d419c4090be8e03aba40d86385a4a1d","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/","124","24","5,167","44,671","Difficile","","","","","","","","","","fr-FR","4b0347c6d7f348db9a6908af3884d472","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/","918","221","4,154","64,476","Normal","","","","","","","","","","fr-FR","731eead021707afac9db4d1722030748","Indexable",""
"https://www.infopro-digital.com/fr/medias/","39","16","2,438","41,669","Difficile","","","","","","","","","","fr-FR","2459bca19edfb9705e6abfc707ce1cce","Indexable",""
"https://www.infopro-digital.com/fr/expertises/plateformes-de-leads/","627","109","5,752","56,353","Assez difficile","","","","","","","","","","fr-FR","e4f43a58c3338b3622c5e886a7643af3","Indexable",""
"https://www.infopro-digital.com/fr/expertises/logiciels-et-bases-de-donnees/","696","112","6,214","53,693","Assez difficile","","","","","","","","","","fr-FR","b9ce95223fd6da4522093ebe5c11ef07","Indexable",""
"https://www.infopro-digital.com/fr/mentions-legales-et-cgu/","1648","225","7,324","59,616","Assez difficile","","","","","","","","","","fr-FR","7719014b764b775659ac1c2f9c0ed91d","Indexable",""
"https://www.infopro-digital.com/fr/groupe/international/","201","50","4,020","68,489","Normal","","","","","","","","","","fr-FR","9b632b917b3d95acdb498e5c2075661e","Indexable",""
"https://www.infopro-digital.com/fr/expertises/","265","59","4,492","53,827","Assez difficile","","","","","","","","","","fr-FR","907f1d0d87efeaee8f7d32c5ed2624bc","Indexable",""
"https://www.infopro-digital.com/fr/acces-finance/","55","14","3,929","61,335","Normal","","","","","","","","","","fr-FR","5e9214d602ee9019fbc756d6b96e8ec5","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/construction-et-secteur-public/","970","139","6,978","57,938","Assez difficile","","","","","","","","","","fr-FR","7ff53a881630191f48a8a55abfcf027b","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/industrie/","1158","165","7,018","55,059","Assez difficile","","","","","","","","","","fr-FR","f0100c453da0579c7d4a4d639c97121f","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/risques-et-assurances/","1037","163","6,362","54,347","Assez difficile","","","","","","","","","","fr-FR","ca3b3a02b9149f158c71f65e254fc115","Indexable",""
"https://www.infopro-digital.com/fr/expertises/information-et-insights/","606","106","5,717","47,189","Difficile","","","","","","","","","","fr-FR","892e96bf9d2a302e7ab0310e3729be83","Indexable",""
"https://www.infopro-digital.com/fr/expertises/salons-professionnels/","581","103","5,641","49,237","Difficile","","","","","","","","","","fr-FR","9fb3d711229bd1ca7080c66adbef07db","Indexable",""
"https://www.infopro-digital.com/fr/cgv/","284","53","5,358","60,793","Normal","","","","","","","","","","fr-FR","94eaf6d6c3802e2650d0ed14b2009b85","Indexable",""
"https://www.infopro-digital.com/fr/groupe/","1351","229","5,900","59,075","Assez difficile","","","","","","","","","","fr-FR","de3c676d7a1a36c8ec98318f3cacc19b","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/","144","33","4,364","62,581","Normal","","","","","","","","","","fr-FR","bfed36dc27bda1e8b9e5310305b51fef","Indexable",""
"https://www.infopro-digital.com/","208","58","3,586","55,958","Assez difficile","","","","","","","","","","en-GB","60934e927599d195af4a995291f94202","Indexable",""
"https://www.infopro-digital.com/fr/groupe","1351","229","5,900","59,075","Assez difficile","","","","","","","","","","fr-FR","de3c676d7a1a36c8ec98318f3cacc19b","Non indexable","Canonisé"
"https://www.infopro-digital.com/fr/secteurs/distribution/","1108","159","6,969","56,751","Assez difficile","","","","","","","","","","fr-FR","aef3106baeb2e857813da6ec5499de46","Indexable",""
"https://www.infopro-digital.com/fr/contact/","923","330","2,797","92,449","Très facile","","","","","","","","","","fr-FR","d23ef52bf5fba1f427b5f559bd880c9f","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/automobile/","1189","168","7,077","58,485","Assez difficile","","","","","","","","","","fr-FR","3c321d7257fde0d512d7ca897bd7c5e0","Indexable",""
"https://www.infopro-digital.com/fr/declaration-daccessibilite-rgaa-4-1/","1020","279","3,656","74,897","Assez facile","","","","","","","","","","fr-FR","79d61e6c017e354abf9502c28d8b2fde","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-span-fr.pdf","0","","","","","","","","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-actions-fr.pdf","0","","","","","","","","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-planactions-fr.pdf","0","","","","","","","","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/actualites/lusine-nouvelle-se-reinvente-en-2021-media-b2b-industrie-digital/","473","75","6,307","56,274","Assez difficile","","","","","","","","","","fr-FR","8c1ccbcdaae99a78c1cec4fd02b6dbb1","Indexable",""
"https://www.infopro-digital.com/news/press-release-infopro-digital-has-reached-an-agreement-to-acquire-karnov-groups-ehs-division-enhancing-its-portfolio-of-software-solutions-for-ehs-legal-monitoring-and-compliance/","209","34","6,147","34,634","Difficile","","","","","","","","","","en-GB","93900717c7aaf0e00e6316b0fdef4c2e","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2025/06/msa-statement-2025.pdf","0","","","","","","","","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/sectors/automotive/","955","157","6,083","36,953","Difficile","","","","","","","","","","en-GB","db606ca77827d0ca38b8f75a3568a318","Indexable",""
"https://www.infopro-digital.com/contact-us/","895","328","2,729","90,352","Très facile","","","","","","","","","","en-GB","363abb8eb24c097f3725dab0c2bc2fc6","Indexable",""
"https://www.infopro-digital.com/sectors/retail/","909","144","6,312","45,188","Difficile","","","","","","","","","","en-GB","d9f92623b82fe6d5b4c1d8efdb7e857","Indexable",""
"https://www.infopro-digital.com/accessibility-statement-rgaa-4-1/","839","264","3,178","50,442","Assez difficile","","","","","","","","","","en-GB","42d5fb096844e707e5a425d6be8ec6ff","Indexable",""
"https://www.infopro-digital.com/solutions/tradeshows/","483","89","5,427","37,732","Difficile","","","","","","","","","","en-GB","d459a177670a8d4f43e072e740b10589","Indexable",""
"https://www.infopro-digital.com/sectors/","117","33","3,545","50,667","Assez difficile","","","","","","","","","","en-GB","a30a8670bf0caada37ed5f6a71d3f459","Indexable",""
"https://www.infopro-digital.com/group/","1222","210","5,819","56,790","Assez difficile","","","","","","","","","","en-GB","c73e67b3d787f2e5dd76bc9d146af23e","Indexable",""
"https://www.infopro-digital.com/fr/groupe/a-propos/","280","56","5,000","64,285","Normal","","","","","","","","","","fr-FR","b3486662e15ce2166346521eb8533319","Indexable",""
"https://www.infopro-digital.com/fr/actualites/john-van-der-valk-rejoint-infopro-digital-en-tant-que-directeur-general-delegue-salons/","351","49","7,163","53,744","Assez difficile","","","","","","","","","","fr-FR","ad513405eed27995f62dc6660162ae79","Indexable",""
"https://www.infopro-digital.com/news/","126","47","2,681","58,414","Assez difficile","","","","","","","","","","en-GB","4142f0a6b028c2e45cb609d311351511","Indexable",""
"https://www.infopro-digital.com/fr/actualites/communique-infopro-digital-acquiert-eucon-automotive-fournisseur-mondial-des-donnees-de-prix-et-solutions-analytiques-dans-lapres-vente-automobile/","334","47","7,106","39,541","Difficile","","","","","","","","","","fr-FR","f1297489237dce118ccd7a3bc83a2b9c","Indexable",""
"https://www.infopro-digital.com/fr/actualites/danielle-attias-nommee-dg-deleguee-medias-construction-collectivites-et-emploi/","297","39","7,615","56,966","Assez difficile","","","","","","","","","","fr-FR","d077558143b65d9e9793e3cc3b981eb1","Indexable",""
"https://www.infopro-digital.com/news/infopro-digital-ranked-9th-french-software-publisher-by-ey/","159","27","5,889","60,922","Normal","","","","","","","","","","en-GB","ed3be94d2623faba530b1ae7299a0469","Indexable",""
