"Adresse","Occurrences","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","Version canonique HTTP","Indexabilité","Statut d'indexabilité"
"https://www.infopro-digital.com/fr/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/","","Indexable",""
"https://www.infopro-digital.com/wp/wp-includes/js/dist/i18n.min.js?ver=5d1368162e","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/cache/min/2/kjwusq9l/rq0n9980.js?ver=1771512726","0","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/actualites/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/actualites/","","Indexable",""
"https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/","","Indexable",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/","","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/protection-des-donnees/","","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/carrieres/","","Indexable",""
"https://www.infopro-digital.com/app/cache/min/2/app/themes/infopro-digital/dist/app.1a77bc60.min.css?ver=1771512726","0","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/medias/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/medias/","","Indexable",""
"https://www.infopro-digital.com/fr/expertises/plateformes-de-leads/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/expertises/plateformes-de-leads/","","Indexable",""
"https://www.infopro-digital.com/fr/expertises/logiciels-et-bases-de-donnees/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/expertises/logiciels-et-bases-de-donnees/","","Indexable",""
"https://www.infopro-digital.com/fr/mentions-legales-et-cgu/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/mentions-legales-et-cgu/","","Indexable",""
"https://www.infopro-digital.com/fr/groupe/international/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/groupe/international/","","Indexable",""
"https://www.infopro-digital.com/fr/expertises/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/expertises/","","Indexable",""
"https://www.infopro-digital.com/fr/acces-finance/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/acces-finance/","","Indexable",""
"https://www.infopro-digital.com/app/themes/infopro-digital/dist/app-min.js","0","","","","","","Indexable",""
"https://www.infopro-digital.com/wp/wp-includes/js/dist/hooks.min.js?ver=ebde50e585","0","","","","","","Indexable",""
"https://www.infopro-digital.com/wp/wp-includes/js/jquery/jquery.min.js?ver=f661d72b85","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/cache/min/2/app/plugins/mailjet-for-wordpress/src/widgetformbuilder/js/front-widget.js?ver=1771512726","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/themes/infopro-digital/src/img/static/continent.png","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/cache/min/2/app/plugins/mailjet-for-wordpress/src/widgetformbuilder/css/front-widget.css?ver=1771512725","0","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/construction-et-secteur-public/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/secteurs/construction-et-secteur-public/","","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/industrie/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/secteurs/industrie/","","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/risques-et-assurances/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/secteurs/risques-et-assurances/","","Indexable",""
"https://www.infopro-digital.com/fr/expertises/information-et-insights/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/expertises/information-et-insights/","","Indexable",""
"https://www.infopro-digital.com/fr/expertises/salons-professionnels/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/expertises/salons-professionnels/","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/cgv/","","Indexable",""
"https://www.infopro-digital.com/fr/groupe/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/groupe/","","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/secteurs/","","Indexable",""
"https://www.infopro-digital.com/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/","","Indexable",""
"https://www.infopro-digital.com/fr/groupe","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/groupe/","","Non indexable","Canonisé"
"https://www.infopro-digital.com/wp/wp-includes/js/jquery/jquery-migrate.min.js?ver=55f79c4159","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2022/08/homepage.jpg","0","","","","","","Indexable",""
"https://www.infopro-digital.com/wp/wp-includes/css/dist/block-library/style.min.css?ver=f86b854fc7","0","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/distribution/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/secteurs/distribution/","","Indexable",""
"https://www.infopro-digital.com/fr/contact/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/contact/","","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/automobile/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/secteurs/automobile/","","Indexable",""
"https://www.infopro-digital.com/app/plugins/gravityforms/js/conditional_logic.min.js?ver=419bdd7efe","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2022/08/logo-haynespro.png","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2022/08/equipeautomotive.jpg","0","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/declaration-daccessibilite-rgaa-4-1/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/declaration-daccessibilite-rgaa-4-1/","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-span-fr.pdf","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-actions-fr.pdf","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-planactions-fr.pdf","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2022/08/logo-connect.png","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2024/04/1991688809-1-1024x717.jpg","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2022/08/logo-atelierpro.png","0","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/actualites/lusine-nouvelle-se-reinvente-en-2021-media-b2b-industrie-digital/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/actualites/lusine-nouvelle-se-reinvente-en-2021-media-b2b-industrie-digital/","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/09/kardham-infopro-digital-gentilly-photo-shoootin-hd-2/2472733839.jpg","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2022/09/logo-tlf.png","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2022/09/logo-lsa-1.png","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2022/09/logo-jdcgarden-1.png","0","","","","","","Indexable",""
"https://www.infopro-digital.com/news/press-release-infopro-digital-has-reached-an-agreement-to-acquire-karnov-groups-ehs-division-enhancing-its-portfolio-of-software-solutions-for-ehs-legal-monitoring-and-compliance/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/news/press-release-infopro-digital-has-reached-an-agreement-to-acquire-karnov-groups-ehs-division-enhancing-its-portfolio-of-software-solutions-for-ehs-legal-monitoring-and-compliance/","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/2025/06/msa-statement-2025.pdf","0","","","","","","Indexable",""
"https://www.infopro-digital.com/sectors/automotive/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/sectors/automotive/","","Indexable",""
"https://www.infopro-digital.com/contact-us/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/contact-us/","","Indexable",""
"https://www.infopro-digital.com/sectors/retail/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/sectors/retail/","","Indexable",""
"https://www.infopro-digital.com/accessibility-statement-rgaa-4-1/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/accessibility-statement-rgaa-4-1/","","Indexable",""
"https://www.infopro-digital.com/solutions/tradeshows/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/solutions/tradeshows/","","Indexable",""
"https://www.infopro-digital.com/sectors/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/sectors/","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0162-2/3379403357.jpg","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2060-2-2/1911772659.jpg","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2060-2-2/1631910092.jpg","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2760-2/1123637963.jpg","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0162-2/3287083848.jpg","0","","","","","","Indexable",""
"https://www.infopro-digital.com/group/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/group/","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-1781-1/3423105502.jpg","0","","","","","","Indexable",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/dscf0101-2/2317396083.jpg","0","","","","","","Indexable",""
