"Adresse","Occurrences","H1-1","Longueur du H1-1","Indexabilité","Statut d'indexabilité"
"https://www.infopro-digital.com/fr/","1","De l’information, des données et des technologies pour connecter les communautés professionnelles","97","Indexable",""
"https://www.infopro-digital.com/fr/actualites/","1","Actualités","10","Indexable",""
"https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/","1","[Communiqué] Gustave Roussy lance, avec le soutien d’Infopro Digital, le guide Travail & Cancer, destiné aux managers","117","Indexable",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/","1","Infopro Digital classé 9e entreprise française éditrice de logiciels par EY","75","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/","1","Protection des Données","22","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/","1","Développez votre potentiel","26","Indexable",""
"https://www.infopro-digital.com/fr/medias/","1","Médias","6","Indexable",""
"https://www.infopro-digital.com/fr/expertises/plateformes-de-leads/","1","Des opportunités de vente et de développement boostées sur nos plateformes digitales","84","Indexable",""
"https://www.infopro-digital.com/fr/expertises/logiciels-et-bases-de-donnees/","1","Le meilleur des technologies et des données au service de nos clients","69","Indexable",""
"https://www.infopro-digital.com/fr/mentions-legales-et-cgu/","1","Mentions légales et CGU","23","Indexable",""
"https://www.infopro-digital.com/fr/groupe/international/","1","Nous opérons à l'échelle mondiale, avec une approche multi-locale","65","Indexable",""
"https://www.infopro-digital.com/fr/expertises/","1","Nous aidons les entreprises et les professionnels à réussir dans un monde de plus en plus complexe et digital","109","Indexable",""
"https://www.infopro-digital.com/fr/acces-finance/","1","Informations financières","24","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/construction-et-secteur-public/","1","Construction et secteur public : un univers en perpétuelle évolution","68","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/industrie/","1","Digitale, énergétique : la transformation du secteur de l’industrie ne fait que commencer","89","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/risques-et-assurances/","1","Banque, assurance, gestion d’actifs : la finance au cœur des défis climatiques et technologiques","96","Indexable",""
"https://www.infopro-digital.com/fr/expertises/information-et-insights/","1","Une expertise média B2B unique pour informer et connecter les professionnels","76","Indexable",""
"https://www.infopro-digital.com/fr/expertises/salons-professionnels/","1","Connecter les professionnels des filières et industries aux opportunités de leur écosystème","91","Indexable",""
"https://www.infopro-digital.com/fr/cgv/","1","Conditions Générales applicables aux produits et services délivrés par les sociétés françaises","94","Indexable",""
"https://www.infopro-digital.com/fr/groupe/","1","Infopro Digital est un groupe B2B expert en Information, Data et Technologies","77","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/","1","Notre force : comprendre et maîtriser les enjeux de votre industrie","67","Indexable",""
"https://www.infopro-digital.com/","1","We create Information and Technologies that connect professionals and businesses","80","Indexable",""
"https://www.infopro-digital.com/fr/groupe","1","Infopro Digital est un groupe B2B expert en Information, Data et Technologies","77","Non indexable","Canonisé"
"https://www.infopro-digital.com/fr/secteurs/distribution/","1","La transformation des habitudes de consommation impose de nombreux défis aux acteurs de la distribution","103","Indexable",""
"https://www.infopro-digital.com/fr/contact/","1","Contactez-nous","14","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/automobile/","1","L'un des principaux fournisseurs mondiaux de données et de solutions logicielles pour le marché de l'après vente automobile","123","Indexable",""
"https://www.infopro-digital.com/fr/declaration-daccessibilite-rgaa-4-1/","1","Déclaration d’accessibilité","27","Indexable",""
"https://www.infopro-digital.com/fr/actualites/lusine-nouvelle-se-reinvente-en-2021-media-b2b-industrie-digital/","1","L’Usine Nouvelle se réinvente en 2021","37","Indexable",""
"https://www.infopro-digital.com/news/press-release-infopro-digital-has-reached-an-agreement-to-acquire-karnov-groups-ehs-division-enhancing-its-portfolio-of-software-solutions-for-ehs-legal-monitoring-and-compliance/","1","[Press release] Infopro Digital has reached an agreement to acquire Karnov Group’s EHS division, enhancing its portfolio of software solutions for EHS legal monitoring and compliance","182","Indexable",""
"https://www.infopro-digital.com/sectors/automotive/","1","A Leading Global Provider of Data and Software Solutions for the Automotive Aftermarket","87","Indexable",""
"https://www.infopro-digital.com/contact-us/","1","Contact us","10","Indexable",""
"https://www.infopro-digital.com/sectors/retail/","1","Changing consumer habits creates a slew of challenges for distribution professionals","84","Indexable",""
"https://www.infopro-digital.com/accessibility-statement-rgaa-4-1/","1","Accessibility statement","23","Indexable",""
"https://www.infopro-digital.com/solutions/tradeshows/","1","Connecting professionals to opportunities in their industry ecosystem","69","Indexable",""
"https://www.infopro-digital.com/sectors/","1","Our strength is: understanding and mastering your industry’s challenges","71","Indexable",""
"https://www.infopro-digital.com/group/","1","We specialise in B2B information, data and technologies","55","Indexable",""
"https://www.infopro-digital.com/fr/groupe/a-propos/","1","Toute notre expertise du digital au service des entreprises, des professionnels et des collectivités","100","Indexable",""
"https://www.infopro-digital.com/fr/actualites/john-van-der-valk-rejoint-infopro-digital-en-tant-que-directeur-general-delegue-salons/","1","John van der Valk rejoint Infopro Digital en tant que Directeur Général Délégué Salons","86","Indexable",""
"https://www.infopro-digital.com/news/","1","News","4","Indexable",""
"https://www.infopro-digital.com/fr/actualites/communique-infopro-digital-acquiert-eucon-automotive-fournisseur-mondial-des-donnees-de-prix-et-solutions-analytiques-dans-lapres-vente-automobile/","1","[Communiqué] Infopro Digital acquiert Eucon Automotive, fournisseur mondial des données de prix et solutions analytiques dans l’après-vente automobile","150","Indexable",""
"https://www.infopro-digital.com/fr/actualites/danielle-attias-nommee-dg-deleguee-medias-construction-collectivites-et-emploi/","1","[Communiqué] Danielle Attias nommée DG Déléguée – Médias Construction & Collectivités, et Emploi","96","Indexable",""
"https://www.infopro-digital.com/news/infopro-digital-ranked-9th-french-software-publisher-by-ey/","1","Infopro Digital ranked 9th French software publisher by EY","58","Indexable",""
"https://www.infopro-digital.com/data-protection/","1","Data protection","15","Indexable",""
"https://www.infopro-digital.com/fr/actualites/nomination-de-ben-wood/","1","Nomination de Ben Wood","22","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/pt/","1","POLÍTICA DE DADOS PESSOAIS","26","Indexable",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-a-signe-un-accord-en-vue-dacquerir-la-division-hse-du-groupe-karnov-et-renforce-son-offre-de-solutions-logicielles-pour-la-veille-reglementaire-et-la-conformite-en-matiere-d/","1","[Communiqué] Infopro Digital a signé un accord en vue d’acquérir la division HSE du groupe Karnov et renforce son offre de solutions logicielles pour la veille réglementaire et la conformité en matière d’HSE","207","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/eng/","1","PERSONAL DATA POLICY","20","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/es/","1","POLÍTICA DE DATOS PERSONALES","28","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/nl/","1","BELEID INZAKE PERSOONSGEGEVENS","30","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/fr/","1","POLITIQUE EN MATIÈRE DE DONNÉES PERSONNELLES","44","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/de/","1","RICHTLINIE ZUM SCHUTZ PERSONENBEZOGENER DATEN","45","Indexable",""
"https://www.infopro-digital.com/careers/","1","Develop your potential","22","Indexable",""
