"Adresse","Occurrences","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Indexabilité","Statut d'indexabilité"
"https://www.infopro-digital.com/fr/","5","Une offre innovante pour gagner en performance","46","Grâce à nos solutions, nos clients :","36","Indexable",""
"https://www.infopro-digital.com/fr/actualites/","8","Affinez votre recherche","23","[Communiqué] Gustave Roussy lance, avec le soutien d’Infopro Digital, le guide Travail & Cancer, destiné aux managers","117","Indexable",""
"https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/","0","","0","","0","Indexable",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/","0","","0","","0","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/","1","Choisissez la langue","20","","0","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/","12","99 opportunités d’emploi dans 15 pays","37","Nos valeurs","11","Indexable",""
"https://www.infopro-digital.com/fr/medias/","2","Relations Médias","16","Presse kit","10","Indexable",""
"https://www.infopro-digital.com/fr/expertises/plateformes-de-leads/","6","Les plateformes de veille de projets de construction et d’appels d’offres de marchés publics","92","Acquisition, image, référencement et visibilité : pour une conversion optimale grâce aux marketplaces B2B","105","Indexable",""
"https://www.infopro-digital.com/fr/expertises/logiciels-et-bases-de-donnees/","7","La combinaison des données et des technologies pour des logiciels encore plus performants","89","Nous concevons des logiciels sur-mesure pour les métiers de nos clients","71","Indexable",""
"https://www.infopro-digital.com/fr/mentions-legales-et-cgu/","3","Éditeur du site","15","Directeur de la publication","27","Indexable",""
"https://www.infopro-digital.com/fr/groupe/international/","4","Nos marchés sont locaux.","24","Notre terrain de jeu est mondial","32","Indexable",""
"https://www.infopro-digital.com/fr/expertises/","6","Nous couvrons l’ensemble des besoins des communautés professionnelles.","70","Avec les solutions d’Infopro Digital, nos clients :","51","Indexable",""
