"Chemin d'accès 1","Chemin d'accès 2","Chemin d'accès 3","URL","Indexable","Non indexable"
"https/","","","358","337","21"
"","www.infopro-digital.com/","","358","337","21"
"","","app/","188","187","1"
"","","fr/","91","81","10"
"","","terms-and-conditions/","19","19","0"
"","","news/","9","9","0"
"","","data-protection/","9","9","0"
"","","careers/","8","3","5"
"","","wp/","7","7","0"
"","","sectors/","6","6","0"
"","","solutions/","5","5","0"
"","","group/","4","4","0"
"","","rgpd-gdpr/","3","0","3"
"","","contact-us/","1","1","0"
"","","accessibility-statement-rgaa-4-1/","1","1","0"
"","","media/","1","1","0"
"","","legal-notice-and-gtu/","1","0","1"
"","","financial-access/","1","1","0"
"","","en/","1","0","1"
"","","financial-contact-us/","1","1","0"
"","","forgot-your-password-2/","1","1","0"
"http/","","","1","0","1"
"","www.infopro-digital.com/","","1","0","1"
