"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.infopro-digital.com/fr/","text/html; charset=utf-8","200","OK","Indexable","","Leader B2B en information, data, technologies pour les entreprises.","67","592","Nous connectons les professionnels avec nos solutions business innovantes : logiciels métiers, data et bases de données, médias, évènements.","140","899","","0","De l’information, des données et des technologies pour connecter les communautés professionnelles","97","Une offre innovante pour gagner en performance","46","Grâce à nos solutions, nos clients :","36","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/","","","","","","69264","15247","15247","5,841","","217","57","3,807","49,755","Difficile","3,559","0","1","","225","109","0","70,320","53","27","0","6","3","0","","","","","5de0aa71a08ff97cb132c2f72c387559","0,084","Fri, 20 Feb 2026 05:06:08 GMT","","","","fr-FR","1.1","","","","","","https://www.infopro-digital.com/fr/","2026-02-20 12:50:06"
"https://www.infopro-digital.com/wp/wp-includes/js/dist/i18n.min.js?ver=5d1368162e","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,053","Thu, 15 Feb 2024 16:53:16 GMT","","","","","1.1","","","","","","https://www.infopro-digital.com/wp/wp-includes/js/dist/i18n.min.js?ver=5d1368162e","2026-02-20 12:50:09"
"https://www.infopro-digital.com/app/cache/min/2/kjwusq9l/rq0n9980.js?ver=1771512726","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,056","Thu, 19 Feb 2026 14:52:06 GMT","","","","","1.1","","","","","","https://www.infopro-digital.com/app/cache/min/2/kjwusq9l/rq0n9980.js?ver=1771512726","2026-02-20 12:50:09"
"https://www.infopro-digital.com/fr/actualites/","text/html; charset=utf-8","200","OK","Indexable","","Actualités du groupe et solutions business innovantes pour entreprises","70","629","Suivez les actualités du groupe Infopro Digital, 8ème groupe tech français. Informez vous sur nos produits, salons ou encore nos solutions technologiques.Suivez les actualités du groupe Infopro Digital, 8ème groupe technologique français. Soyez informé des nouveautés du groupe : plateformes, salons, solutions technologiques ou acquisitions.","342","2153","","0","Actualités","10","Affinez votre recherche","23","[Communiqué] Gustave Roussy lance, avec le soutien d’Infopro Digital, le guide Travail & Cancer, destiné aux managers","117","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/actualites/","https://www.infopro-digital.com/fr/actualites/page/2/","","","","","66934","15004","15004","5,748","","156","52","3,000","57,367","Assez difficile","2,965","1","2","","293","88","0","56,770","44","21","0","6","3","0","","","","","448cdb07684adfb2cb1c3ea9d05cbf7e","0,038","Fri, 20 Feb 2026 07:54:51 GMT","","","","fr-FR","1.1","","","","","","https://www.infopro-digital.com/fr/actualites/","2026-02-20 12:50:09"
"https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/","text/html; charset=utf-8","200","OK","Indexable","","[Communiqué] Gustave Roussy lance, avec le soutien d’Infopro Digital, le guide Travail & Cancer, destiné aux managers - Infopro Digital","135","1189","","0","0","","0","[Communiqué] Gustave Roussy lance, avec le soutien d’Infopro Digital, le guide Travail & Cancer, destiné aux managers","117","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/","","","","","","65144","15425","15425","5,909","","544","66","8,242","64,260","Normal","6,736","1","3","","10","8","0","5,160","37","15","0","7","4","0","","","","","a01fcf23e3103f482426f97db2f45338","0,087","Fri, 20 Feb 2026 07:41:57 GMT","","","","fr-FR","1.1","","","","","","https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/","2026-02-20 12:50:09"
"https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/","text/html; charset=utf-8","200","OK","Indexable","","Infopro Digital classé 9e entreprise française éditrice de logiciels par EY - Infopro Digital","93","772","","0","0","","0","Infopro Digital classé 9e entreprise française éditrice de logiciels par EY","75","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/","","","","","","61495","14270","14270","5,467","","179","29","6,172","55,947","Assez difficile","3,421","1","3","","14","11","0","7,100","37","15","0","6","3","0","","","","","4d419c4090be8e03aba40d86385a4a1d","0,031","Fri, 20 Feb 2026 07:46:03 GMT","","","","fr-FR","1.1","","","","","","https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/","2026-02-20 12:50:09"
"https://www.infopro-digital.com/fr/protection-des-donnees/","text/html; charset=utf-8","200","OK","Indexable","","Protection des Données - Infopro Digital","40","353","","0","0","","0","Protection des Données","22","Choisissez la langue","20","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/protection-des-donnees/","","","","","","61470","13328","13328","5,106","","124","24","5,167","44,671","Difficile","2,809","1","2","","179","88","0","56,770","44","22","0","6","3","0","","","","","4b0347c6d7f348db9a6908af3884d472","0,043","Fri, 20 Feb 2026 06:52:40 GMT","","","","fr-FR","1.1","","","","","","https://www.infopro-digital.com/fr/protection-des-donnees/","2026-02-20 12:50:09"
"https://www.infopro-digital.com/fr/carrieres/","text/html; charset=utf-8","200","OK","Indexable","","Recrutement d'experts du digital et des métiers tech, vente, contenu","68","596","En rejoignant un groupe d'experts B2B, vous évoluez dans un environnement de travail stimulant. Développez votre potentiel dans l'univers du digital.","149","926","","0","Développez votre potentiel","26","99 opportunités d’emploi dans 15 pays","37","Nos valeurs","11","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/carrieres/","","","","","","127151","25913","25913","9,927","","918","221","4,154","64,476","Normal","5,686","1","2","","286","88","0","56,770","49","27","0","13","10","0","","","","","731eead021707afac9db4d1722030748","0,091","Fri, 20 Feb 2026 06:46:00 GMT","","","","fr-FR","1.1","","","","","","https://www.infopro-digital.com/fr/carrieres/","2026-02-20 12:50:09"
"https://www.infopro-digital.com/app/cache/min/2/app/themes/infopro-digital/dist/app.1a77bc60.min.css?ver=1771512726","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","8","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,052","Thu, 19 Feb 2026 14:52:06 GMT","","","","","1.1","","","","","","https://www.infopro-digital.com/app/cache/min/2/app/themes/infopro-digital/dist/app.1a77bc60.min.css?ver=1771512726","2026-02-20 12:50:09"
"https://www.infopro-digital.com/fr/medias/","text/html; charset=utf-8","200","OK","Indexable","","Médias - Infopro Digital","24","206","","0","0","","0","Médias","6","Relations Médias","16","Presse kit","10","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.infopro-digital.com/fr/medias/","","","","","","60542","13415","13415","5,139","","39","16","2,438","41,669","Difficile","1,956","1","2","","181","88","0","56,770","40","16","0","6","3","0","","","","","2459bca19edfb9705e6abfc707ce1cce","0,036","Fri, 20 Feb 2026 07:57:03 GMT","","","","fr-FR","1.1","","","","","","https://www.infopro-digital.com/fr/medias/","2026-02-20 12:50:09"
