"Adresse","Type de contenu","Code HTTP","Statut","Version HTTP","Indexabilité","Statut d'indexabilité","Élément de lien en version canonique 1","Meta Robots 1","Balise X-Robots 1"
"https://www.infopro-digital.com/fr/rgpd/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.infopro-digital.com/fr/mentions-legales/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.infopro-digital.com/rgpd-gdpr/fr/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.infopro-digital.com/rgpd-gdpr/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"http://www.infopro-digital.com/","text/html","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.infopro-digital.com/fr/rgpd/france/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.infopro-digital.com/rgpd-gdpr/pt/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.infopro-digital.com/fr/carrieres/job-board/9744-business-development-manager/","text/html; charset=UTF-8","404","Not Found","1.1","Non indexable","Erreur client ","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/2022/07/sandrine-matichard.jpeg","text/html","404","Not Found","1.1","Non indexable","Erreur client ","","",""
"https://www.infopro-digital.com/en/contact/","text/html; charset=UTF-8","404","Not Found","1.1","Non indexable","Erreur client ","","",""
"https://www.infopro-digital.com/fr/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/wp/wp-includes/js/dist/i18n.min.js?ver=5d1368162e","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/cache/min/2/kjwusq9l/rq0n9980.js?ver=1771512726","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/fr/actualites/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/actualites/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/protection-des-donnees/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/protection-des-donnees/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/carrieres/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/carrieres/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/app/cache/min/2/app/themes/infopro-digital/dist/app.1a77bc60.min.css?ver=1771512726","text/css","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/fr/medias/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/medias/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/expertises/plateformes-de-leads/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/expertises/plateformes-de-leads/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/expertises/logiciels-et-bases-de-donnees/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/expertises/logiciels-et-bases-de-donnees/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/mentions-legales-et-cgu/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/mentions-legales-et-cgu/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/groupe/international/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/groupe/international/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/expertises/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/expertises/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/acces-finance/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/acces-finance/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/app/themes/infopro-digital/dist/app-min.js","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/wp/wp-includes/js/dist/hooks.min.js?ver=ebde50e585","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/wp/wp-includes/js/jquery/jquery.min.js?ver=f661d72b85","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/cache/min/2/app/plugins/mailjet-for-wordpress/src/widgetformbuilder/js/front-widget.js?ver=1771512726","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/themes/infopro-digital/src/img/static/continent.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/cache/min/2/app/plugins/mailjet-for-wordpress/src/widgetformbuilder/css/front-widget.css?ver=1771512725","text/css","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/fr/secteurs/construction-et-secteur-public/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/secteurs/construction-et-secteur-public/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/secteurs/industrie/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/secteurs/industrie/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/secteurs/risques-et-assurances/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/secteurs/risques-et-assurances/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/expertises/information-et-insights/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/expertises/information-et-insights/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/expertises/salons-professionnels/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/expertises/salons-professionnels/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/cgv/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/cgv/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/groupe/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/groupe/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/secteurs/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/secteurs/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/groupe","text/html; charset=utf-8","200","OK","1.1","Non indexable","Canonisé","https://www.infopro-digital.com/fr/groupe/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/wp/wp-includes/js/jquery/jquery-migrate.min.js?ver=55f79c4159","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/2022/08/homepage.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/wp/wp-includes/css/dist/block-library/style.min.css?ver=f86b854fc7","text/css","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/fr/secteurs/distribution/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/secteurs/distribution/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/contact/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/contact/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/secteurs/automobile/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/secteurs/automobile/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/app/plugins/gravityforms/js/conditional_logic.min.js?ver=419bdd7efe","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/2022/08/logo-haynespro.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/2022/08/equipeautomotive.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/fr/declaration-daccessibilite-rgaa-4-1/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/declaration-daccessibilite-rgaa-4-1/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-span-fr.pdf","application/pdf","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-actions-fr.pdf","application/pdf","200","OK","1.1","Indexable","","","",""
