"Adresse","Occurrences","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Indexabilité","Statut d'indexabilité"
"https://www.infopro-digital.com/fr/","1","Leader B2B en information, data, technologies pour les entreprises.","67","592","Indexable",""
"https://www.infopro-digital.com/fr/actualites/","1","Actualités du groupe et solutions business innovantes pour entreprises","70","629","Indexable",""
"https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/","1","[Communiqué] Gustave Roussy lance, avec le soutien d’Infopro Digital, le guide Travail & Cancer, destiné aux managers - Infopro Digital","135","1189","Indexable",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/","1","Infopro Digital classé 9e entreprise française éditrice de logiciels par EY - Infopro Digital","93","772","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/","1","Protection des Données - Infopro Digital","40","353","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/","1","Recrutement d'experts du digital et des métiers tech, vente, contenu","68","596","Indexable",""
"https://www.infopro-digital.com/fr/medias/","1","Médias - Infopro Digital","24","206","Indexable",""
"https://www.infopro-digital.com/fr/expertises/plateformes-de-leads/","1","Des leads, des clients et des ventes grâce à nos plateformes digitales","70","612","Indexable",""
"https://www.infopro-digital.com/fr/expertises/logiciels-et-bases-de-donnees/","1","Le meilleur des technologies et des données pour vos logiciels métiers","70","624","Indexable",""
"https://www.infopro-digital.com/fr/mentions-legales-et-cgu/","1","Mentions légales et CGU - Infopro Digital","41","358","Indexable",""
"https://www.infopro-digital.com/fr/groupe/international/","1","Un groupe international en expansion qui recrute sur les 5 continents","69","608","Indexable",""
"https://www.infopro-digital.com/fr/expertises/","1","Solutions digitales pour professionnels, entreprises et collectivités","69","586","Indexable",""
"https://www.infopro-digital.com/fr/acces-finance/","1","Accès finance - Infopro Digital","31","266","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/construction-et-secteur-public/","1","Construction et secteur public : tendances, analyses et solutions","65","569","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/industrie/","1","La transformation du secteur de l’industrie ne fait que commencer","65","584","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/risques-et-assurances/","1","Secteur de l'assurance et des risques : les tendances et solutions.","67","579","Indexable",""
"https://www.infopro-digital.com/fr/expertises/information-et-insights/","1","Marques médias leaders et influentes pour cibler les décideurs du B2B.","70","626","Indexable",""
"https://www.infopro-digital.com/fr/expertises/salons-professionnels/","1","Salons professionnels pour connecter les communautés professionnelles","69","653","Indexable",""
"https://www.infopro-digital.com/fr/cgv/","1","Conditions Générales applicables aux produits et services délivrés par les sociétés françaises - Infopro Digital","112","966","Indexable",""
"https://www.infopro-digital.com/fr/groupe/","1","Le groupe des experts B2B en information, données et technologies","65","597","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/","1","Les experts de votre industrie : enjeux business, logiciels métiers.","68","576","Indexable",""
"https://www.infopro-digital.com/","1","A leading business information, data, and technology group.","59","531","Indexable",""
"https://www.infopro-digital.com/fr/groupe","1","Le groupe des experts B2B en information, données et technologies","65","597","Non indexable","Canonisé"
"https://www.infopro-digital.com/fr/secteurs/distribution/","1","Tendances de la distribution et solutions de digitalisation du retail","69","580","Indexable",""
"https://www.infopro-digital.com/fr/contact/","1","Contactez-nous - Infopro Digital","32","281","Indexable",""
"https://www.infopro-digital.com/fr/secteurs/automobile/","1","Des solutions innovantes pour les acteurs de l'après-vente automobile","69","619","Indexable",""
"https://www.infopro-digital.com/fr/declaration-daccessibilite-rgaa-4-1/","1","Déclaration d’accessibilité - Infopro Digital","45","372","Indexable",""
"https://www.infopro-digital.com/fr/actualites/lusine-nouvelle-se-reinvente-en-2021-media-b2b-industrie-digital/","1","L'Usine Nouvelle se réinvente en 2021 - Infopro Digital","55","474","Indexable",""
"https://www.infopro-digital.com/news/press-release-infopro-digital-has-reached-an-agreement-to-acquire-karnov-groups-ehs-division-enhancing-its-portfolio-of-software-solutions-for-ehs-legal-monitoring-and-compliance/","1","[Press release] Infopro Digital has reached an agreement to acquire Karnov Group’s EHS division, enhancing its portfolio of software solutions for EHS legal monitoring and compliance - Infopro Digital","200","1760","Indexable",""
"https://www.infopro-digital.com/sectors/automotive/","1","Innovative solutions for automotive after-sales service providers","65","567","Indexable",""
"https://www.infopro-digital.com/contact-us/","1","Contact us - Infopro Digital","28","237","Indexable",""
"https://www.infopro-digital.com/sectors/retail/","1","Distribution trends and retail digitalization solutions","55","456","Indexable",""
"https://www.infopro-digital.com/accessibility-statement-rgaa-4-1/","1","Accessibility statement - Infopro Digital","41","347","Indexable",""
"https://www.infopro-digital.com/solutions/tradeshows/","1","Tradeshows to connect business communities","42","415","Indexable",""
"https://www.infopro-digital.com/sectors/","1","Experts in your industry: business challenges, dedicated software","65","576","Indexable",""
"https://www.infopro-digital.com/group/","1","The B2B group expert on information, data and technologies","58","532","Indexable",""
"https://www.infopro-digital.com/fr/groupe/a-propos/","1","L'expertise digitale au service des professionnels et des entreprises","69","595","Indexable",""
"https://www.infopro-digital.com/fr/actualites/john-van-der-valk-rejoint-infopro-digital-en-tant-que-directeur-general-delegue-salons/","1","John van der Valk rejoint Infopro Digital en tant que Directeur Général Délégué Salons - Infopro Digital","104","894","Indexable",""
"https://www.infopro-digital.com/news/","1","Group news and innovative business solutions for companies","58","545","Indexable",""
