"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Hachage","Longueur","Élément de lien en version canonique 1","Adresse codée en URL"
"https://www.infopro-digital.com/fr/carrieres/job-board/9744-business-development-manager/","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","","89","","https://www.infopro-digital.com/fr/carrieres/job-board/9744-business-development-manager/"
"https://www.infopro-digital.com/app/uploads/sites/2/2022/07/sandrine-matichard.jpeg","text/html","404","Not Found","Non indexable","Erreur client ","","83","","https://www.infopro-digital.com/app/uploads/sites/2/2022/07/sandrine-matichard.jpeg"
"https://www.infopro-digital.com/en/contact/","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","","43","","https://www.infopro-digital.com/en/contact/"
"https://www.infopro-digital.com/fr/rgpd/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","","40","","https://www.infopro-digital.com/fr/rgpd/"
"https://www.infopro-digital.com/fr/mentions-legales/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","","52","","https://www.infopro-digital.com/fr/mentions-legales/"
"https://www.infopro-digital.com/rgpd-gdpr/fr/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","","45","","https://www.infopro-digital.com/rgpd-gdpr/fr/"
"https://www.infopro-digital.com/rgpd-gdpr/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","","42","","https://www.infopro-digital.com/rgpd-gdpr/"
"http://www.infopro-digital.com/","text/html","301","Moved Permanently","Non indexable","Redirigé","","31","","http://www.infopro-digital.com/"
"https://www.infopro-digital.com/fr/rgpd/france/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","","47","","https://www.infopro-digital.com/fr/rgpd/france/"
"https://www.infopro-digital.com/rgpd-gdpr/pt/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","","45","","https://www.infopro-digital.com/rgpd-gdpr/pt/"
"https://www.infopro-digital.com/fr/","text/html; charset=utf-8","200","OK","Indexable","","5de0aa71a08ff97cb132c2f72c387559","35","https://www.infopro-digital.com/fr/","https://www.infopro-digital.com/fr/"
"https://www.infopro-digital.com/wp/wp-includes/js/dist/i18n.min.js?ver=5d1368162e","application/javascript","200","OK","Indexable","","","81","","https://www.infopro-digital.com/wp/wp-includes/js/dist/i18n.min.js?ver=5d1368162e"
"https://www.infopro-digital.com/app/cache/min/2/kjwusq9l/rq0n9980.js?ver=1771512726","application/javascript","200","OK","Indexable","","","83","","https://www.infopro-digital.com/app/cache/min/2/kjwusq9l/rq0n9980.js?ver=1771512726"
"https://www.infopro-digital.com/fr/actualites/","text/html; charset=utf-8","200","OK","Indexable","","448cdb07684adfb2cb1c3ea9d05cbf7e","46","https://www.infopro-digital.com/fr/actualites/","https://www.infopro-digital.com/fr/actualites/"
"https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/","text/html; charset=utf-8","200","OK","Indexable","","a01fcf23e3103f482426f97db2f45338","156","https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/","https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/"
"https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/","text/html; charset=utf-8","200","OK","Indexable","","4d419c4090be8e03aba40d86385a4a1d","124","https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/","https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/"
"https://www.infopro-digital.com/fr/protection-des-donnees/","text/html; charset=utf-8","200","OK","Indexable","","4b0347c6d7f348db9a6908af3884d472","58","https://www.infopro-digital.com/fr/protection-des-donnees/","https://www.infopro-digital.com/fr/protection-des-donnees/"
"https://www.infopro-digital.com/fr/carrieres/","text/html; charset=utf-8","200","OK","Indexable","","731eead021707afac9db4d1722030748","45","https://www.infopro-digital.com/fr/carrieres/","https://www.infopro-digital.com/fr/carrieres/"
"https://www.infopro-digital.com/app/cache/min/2/app/themes/infopro-digital/dist/app.1a77bc60.min.css?ver=1771512726","text/css","200","OK","Indexable","","","115","","https://www.infopro-digital.com/app/cache/min/2/app/themes/infopro-digital/dist/app.1a77bc60.min.css?ver=1771512726"
"https://www.infopro-digital.com/fr/medias/","text/html; charset=utf-8","200","OK","Indexable","","2459bca19edfb9705e6abfc707ce1cce","42","https://www.infopro-digital.com/fr/medias/","https://www.infopro-digital.com/fr/medias/"
"https://www.infopro-digital.com/fr/expertises/plateformes-de-leads/","text/html; charset=utf-8","200","OK","Indexable","","e4f43a58c3338b3622c5e886a7643af3","67","https://www.infopro-digital.com/fr/expertises/plateformes-de-leads/","https://www.infopro-digital.com/fr/expertises/plateformes-de-leads/"
"https://www.infopro-digital.com/fr/expertises/logiciels-et-bases-de-donnees/","text/html; charset=utf-8","200","OK","Indexable","","b9ce95223fd6da4522093ebe5c11ef07","76","https://www.infopro-digital.com/fr/expertises/logiciels-et-bases-de-donnees/","https://www.infopro-digital.com/fr/expertises/logiciels-et-bases-de-donnees/"
"https://www.infopro-digital.com/fr/mentions-legales-et-cgu/","text/html; charset=utf-8","200","OK","Indexable","","7719014b764b775659ac1c2f9c0ed91d","59","https://www.infopro-digital.com/fr/mentions-legales-et-cgu/","https://www.infopro-digital.com/fr/mentions-legales-et-cgu/"
"https://www.infopro-digital.com/fr/groupe/international/","text/html; charset=utf-8","200","OK","Indexable","","9b632b917b3d95acdb498e5c2075661e","56","https://www.infopro-digital.com/fr/groupe/international/","https://www.infopro-digital.com/fr/groupe/international/"
"https://www.infopro-digital.com/fr/expertises/","text/html; charset=utf-8","200","OK","Indexable","","907f1d0d87efeaee8f7d32c5ed2624bc","46","https://www.infopro-digital.com/fr/expertises/","https://www.infopro-digital.com/fr/expertises/"
"https://www.infopro-digital.com/fr/acces-finance/","text/html; charset=UTF-8","200","OK","Indexable","","5e9214d602ee9019fbc756d6b96e8ec5","49","https://www.infopro-digital.com/fr/acces-finance/","https://www.infopro-digital.com/fr/acces-finance/"
"https://www.infopro-digital.com/app/themes/infopro-digital/dist/app-min.js","application/javascript","200","OK","Indexable","","","74","","https://www.infopro-digital.com/app/themes/infopro-digital/dist/app-min.js"
"https://www.infopro-digital.com/wp/wp-includes/js/dist/hooks.min.js?ver=ebde50e585","application/javascript","200","OK","Indexable","","","82","","https://www.infopro-digital.com/wp/wp-includes/js/dist/hooks.min.js?ver=ebde50e585"
"https://www.infopro-digital.com/wp/wp-includes/js/jquery/jquery.min.js?ver=f661d72b85","application/javascript","200","OK","Indexable","","","85","","https://www.infopro-digital.com/wp/wp-includes/js/jquery/jquery.min.js?ver=f661d72b85"
"https://www.infopro-digital.com/app/cache/min/2/app/plugins/mailjet-for-wordpress/src/widgetformbuilder/js/front-widget.js?ver=1771512726","application/javascript","200","OK","Indexable","","","137","","https://www.infopro-digital.com/app/cache/min/2/app/plugins/mailjet-for-wordpress/src/widgetformbuilder/js/front-widget.js?ver=1771512726"
"https://www.infopro-digital.com/app/themes/infopro-digital/src/img/static/continent.png","image/png","200","OK","Indexable","","","87","","https://www.infopro-digital.com/app/themes/infopro-digital/src/img/static/continent.png"
"https://www.infopro-digital.com/app/cache/min/2/app/plugins/mailjet-for-wordpress/src/widgetformbuilder/css/front-widget.css?ver=1771512725","text/css","200","OK","Indexable","","","139","","https://www.infopro-digital.com/app/cache/min/2/app/plugins/mailjet-for-wordpress/src/widgetformbuilder/css/front-widget.css?ver=1771512725"
"https://www.infopro-digital.com/fr/secteurs/construction-et-secteur-public/","text/html; charset=utf-8","200","OK","Indexable","","7ff53a881630191f48a8a55abfcf027b","75","https://www.infopro-digital.com/fr/secteurs/construction-et-secteur-public/","https://www.infopro-digital.com/fr/secteurs/construction-et-secteur-public/"
"https://www.infopro-digital.com/fr/secteurs/industrie/","text/html; charset=utf-8","200","OK","Indexable","","f0100c453da0579c7d4a4d639c97121f","54","https://www.infopro-digital.com/fr/secteurs/industrie/","https://www.infopro-digital.com/fr/secteurs/industrie/"
