"Adresse","Occurrences","Indexabilité","Statut d'indexabilité","Élément de lien en version canonique 1","Version canonique HTTP","Meta Robots 1","Balise X-Robots 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.infopro-digital.com/fr/","1","Indexable","","https://www.infopro-digital.com/fr/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/actualites/","1","Indexable","","https://www.infopro-digital.com/fr/actualites/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.infopro-digital.com/fr/actualites/page/2/","","",""
"https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/","1","Indexable","","https://www.infopro-digital.com/fr/actualites/communique-gustave-roussy-lance-avec-le-soutien-dinfopro-digital-le-guide-travail-cancer-destine-aux-managers/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/","1","Indexable","","https://www.infopro-digital.com/fr/actualites/infopro-digital-classe-9e-entreprise-francaise-editrice-de-logiciels-par-ey-2/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/protection-des-donnees/","1","Indexable","","https://www.infopro-digital.com/fr/protection-des-donnees/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/carrieres/","1","Indexable","","https://www.infopro-digital.com/fr/carrieres/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/medias/","1","Indexable","","https://www.infopro-digital.com/fr/medias/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/expertises/plateformes-de-leads/","1","Indexable","","https://www.infopro-digital.com/fr/expertises/plateformes-de-leads/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/expertises/logiciels-et-bases-de-donnees/","1","Indexable","","https://www.infopro-digital.com/fr/expertises/logiciels-et-bases-de-donnees/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/mentions-legales-et-cgu/","1","Indexable","","https://www.infopro-digital.com/fr/mentions-legales-et-cgu/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/groupe/international/","1","Indexable","","https://www.infopro-digital.com/fr/groupe/international/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/expertises/","1","Indexable","","https://www.infopro-digital.com/fr/expertises/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/acces-finance/","1","Indexable","","https://www.infopro-digital.com/fr/acces-finance/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/secteurs/construction-et-secteur-public/","1","Indexable","","https://www.infopro-digital.com/fr/secteurs/construction-et-secteur-public/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/secteurs/industrie/","1","Indexable","","https://www.infopro-digital.com/fr/secteurs/industrie/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/secteurs/risques-et-assurances/","1","Indexable","","https://www.infopro-digital.com/fr/secteurs/risques-et-assurances/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/expertises/information-et-insights/","1","Indexable","","https://www.infopro-digital.com/fr/expertises/information-et-insights/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/expertises/salons-professionnels/","1","Indexable","","https://www.infopro-digital.com/fr/expertises/salons-professionnels/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/cgv/","1","Indexable","","https://www.infopro-digital.com/fr/cgv/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/groupe/","1","Indexable","","https://www.infopro-digital.com/fr/groupe/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/secteurs/","1","Indexable","","https://www.infopro-digital.com/fr/secteurs/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/","1","Indexable","","https://www.infopro-digital.com/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/groupe","1","Non indexable","Canonisé","https://www.infopro-digital.com/fr/groupe/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/secteurs/distribution/","1","Indexable","","https://www.infopro-digital.com/fr/secteurs/distribution/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/contact/","1","Indexable","","https://www.infopro-digital.com/fr/contact/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/secteurs/automobile/","1","Indexable","","https://www.infopro-digital.com/fr/secteurs/automobile/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/declaration-daccessibilite-rgaa-4-1/","1","Indexable","","https://www.infopro-digital.com/fr/declaration-daccessibilite-rgaa-4-1/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-span-fr.pdf","0","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-actions-fr.pdf","0","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/2024/12/infopro-digital-planactions-fr.pdf","0","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/actualites/lusine-nouvelle-se-reinvente-en-2021-media-b2b-industrie-digital/","1","Indexable","","https://www.infopro-digital.com/fr/actualites/lusine-nouvelle-se-reinvente-en-2021-media-b2b-industrie-digital/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/news/press-release-infopro-digital-has-reached-an-agreement-to-acquire-karnov-groups-ehs-division-enhancing-its-portfolio-of-software-solutions-for-ehs-legal-monitoring-and-compliance/","1","Indexable","","https://www.infopro-digital.com/news/press-release-infopro-digital-has-reached-an-agreement-to-acquire-karnov-groups-ehs-division-enhancing-its-portfolio-of-software-solutions-for-ehs-legal-monitoring-and-compliance/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/2025/06/msa-statement-2025.pdf","0","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/sectors/automotive/","1","Indexable","","https://www.infopro-digital.com/sectors/automotive/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/contact-us/","1","Indexable","","https://www.infopro-digital.com/contact-us/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/sectors/retail/","1","Indexable","","https://www.infopro-digital.com/sectors/retail/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/accessibility-statement-rgaa-4-1/","1","Indexable","","https://www.infopro-digital.com/accessibility-statement-rgaa-4-1/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/solutions/tradeshows/","1","Indexable","","https://www.infopro-digital.com/solutions/tradeshows/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/sectors/","1","Indexable","","https://www.infopro-digital.com/sectors/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/group/","1","Indexable","","https://www.infopro-digital.com/group/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/groupe/a-propos/","1","Indexable","","https://www.infopro-digital.com/fr/groupe/a-propos/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/fr/actualites/john-van-der-valk-rejoint-infopro-digital-en-tant-que-directeur-general-delegue-salons/","1","Indexable","","https://www.infopro-digital.com/fr/actualites/john-van-der-valk-rejoint-infopro-digital-en-tant-que-directeur-general-delegue-salons/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.infopro-digital.com/news/","1","Indexable","","https://www.infopro-digital.com/news/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.infopro-digital.com/news/page/2/","","",""
