"Chemin d'accès 1","Chemin d'accès 2","Chemin d'accès 3","URL","Indexable","Non indexable"
"https/","","","344","217","127"
"","www.oppy.ai/","","291","184","107"
"","","wp-content/","153","150","3"
"","","category/","12","7","5"
"","","blog/","6","0","6"
"","","wp-includes/","3","3","0"
"","","author/","3","0","3"
"","","gestion-des-cookies/","2","0","2"
"","","relation-clients/","2","0","2"
"","","retention-et-paiement/","2","0","2"
"","","mentions-legales/","2","0","2"
"","","politique-de-confidentialite/","2","0","2"
"","","signature-vocale/","2","0","2"
"","","touch-and-pay/","2","0","2"
"","","acquisition/","2","0","2"
"","","module-rendez-vous/","2","0","2"
"","","rcs-cas-usage/","2","1","1"
"","","videobot/","2","0","2"
"","","qui-sommes-nous/","2","0","2"
"","","rcs-acquisition/","2","0","2"
"","","rcs-message/","2","0","2"
"","","contactez-nous/","2","0","2"
"","","notre-plateforme/","2","1","1"
"","","allmysms/","2","0","2"
"","","sms-email/","2","0","2"
"","","marketing-conversationnel/","2","1","1"
"","","agent-ia-vocal/","2","0","2"
"","","agent-ia-vocal-taux-contact/","2","1","1"
"","","rcs-vs-sms/","2","1","1"
"","","rcs-demo/","2","1","1"
"","","leviers-outbound-marketing/","2","0","2"
"","","rcs-vs-whatsapp/","2","1","1"
"","","parcours-client-digital/","2","0","2"
"","","cout-agent-ia-vocal/","2","0","2"
"","","marketing/","1","0","1"
"","","agent-ia-vocal","1","0","1"
"","","sms-email","1","0","1"
"","","relation-clients","1","0","1"
"","","allmysms","1","0","1"
"","","contact/","1","0","1"
"","","notre-plateforme","1","0","1"
"","","rcs/","1","0","1"
"","","rcs-message","1","0","1"
"","","contact","1","0","1"
"","","qui-sommes-nous","1","0","1"
"","","rcs-cas-usage","1","0","1"
"","","retention-et-paiement","1","0","1"
"","","videobot","1","0","1"
"","","module-rendez-vous","1","0","1"
"","","acquisition","1","0","1"
"","","blog","1","0","1"
"","","signature-vocale","1","0","1"
"","","touch-and-pay","1","0","1"
"","","contactez-nous","1","0","1"
"","","quality-monitoring/","1","0","1"
"","","rcs-essai-gratuit/","1","0","1"
"","","service-client-proactif/","1","1","0"
"","","rcs-e-commerce/","1","1","0"
"","","joignabilite/","1","0","1"
"","","satisfaction-client/","1","0","1"
"","","kpi-service-client/","1","1","0"
"","","outils-fidelisation-client/","1","0","1"
"","","dites-oui-et-cest-signe-apres-la-signature-electronique-la-signature-vocale-disrupte-lexperience-client/","1","0","1"
"","","drive-to-store/","1","0","1"
"","","chatbot-support-client/","1","0","1"
"","","voice-commerce/","1","1","0"
"","","rg/","1","0","1"
"","","exemple-message-marketing/","1","1","0"
"","","ia-conversationnelle-retail/","1","1","0"
"","","rendez-vous-ia/","1","0","1"
"","","rcs-essai-gratuit","1","0","1"
"","","quality-monitoring-definition/","1","0","1"
"","","agent-vocal-ia/","1","1","0"
"","","relation-client-omnicanale/","1","1","0"
"","","rcs-marketing/","1","1","0"
"","","ia-relation-client/","1","0","1"
"","","e-commerce-marketing-conversationnel/","1","0","1"
"","","ia-conversationnelle/","1","0","1"
"","","automatiser-relation-client/","1","0","1"
"","","prospection-telephonique/","1","1","0"
"","","communication-commerciale/","1","1","0"
"","","anticiper-les-besoins-des-clients/","1","0","1"
"","","experience-client-e-commerce/","1","1","0"
"","","chatbot-e-commerce/","1","1","0"
"","","conseillers-agent-ia-vocal/","1","0","1"
"","","generer-leads-whatsapp/","1","1","0"
"","","rcs-messaging-acquisition-client/","1","0","1"
"","","agents-ia-vocaux/","1","1","0"
"","","soldes-ete-augmenter-ventes/","1","0","1"
"","","hot-leads-management/","1","1","0"
"","","politique-de-confidentialite","1","0","1"
"","","whatsapp-marketing/","1","0","1"
"","","recouvrement-bancaire/","1","1","0"
"","oppy.ai/","","53","33","20"
"","","wp-content/","28","28","0"
"","","wp-includes/","3","3","0"
"","","mentions-legales/","2","1","1"
"","","signature-vocale","1","0","1"
"","","retention-et-paiement","1","0","1"
"","","allmysms","1","0","1"
"","","gestion-des-cookies/","1","0","1"
"","","touch-and-pay","1","0","1"
"","","rcs-message","1","0","1"
"","","contactez-nous","1","0","1"
"","","acquisition","1","0","1"
"","","module-rendez-vous","1","0","1"
"","","notre-plateforme","1","0","1"
"","","agent-ia-vocal","1","0","1"
"","","blog","1","0","1"
"","","qui-sommes-nous","1","0","1"
"","","sms-email","1","0","1"
"","","relation-clients","1","0","1"
"","","rcs-cas-usage","1","0","1"
"","","videobot","1","0","1"
"","","politique-de-confidentialite/","1","0","1"
"","","category/","1","1","0"
