"Adresse","Indexabilité","Statut d'indexabilité","Crawl profondeur","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques"
"https://www.oppy.ai/","Non indexable","Canonisé","0","","85","80","0","93,020","68","26","0","5","5","0"
"https://www.oppy.ai/gestion-des-cookies/","Non indexable","Canonisé","1","","81","80","0","93,020","55","21","0","4","4","0"
"https://www.oppy.ai/relation-clients/","Non indexable","Canonisé","1","","5","5","0","5,810","59","25","0","4","4","0"
"https://www.oppy.ai/retention-et-paiement/","Non indexable","Canonisé","1","","3","3","0","3,490","59","25","0","6","6","0"
"https://www.oppy.ai/mentions-legales/","Non indexable","Canonisé","1","","81","80","0","93,020","55","21","0","4","4","0"
"https://www.oppy.ai/politique-de-confidentialite/","Non indexable","Canonisé","1","","81","80","0","93,020","55","21","0","4","4","0"
"https://oppy.ai/mentions-legales/","Indexable","","2","","6","5","0","5,810","55","21","0","4","4","0"
"https://www.oppy.ai/signature-vocale/","Non indexable","Canonisé","2","","1","1","0","1,160","57","23","0","4","4","0"
"https://www.oppy.ai/blog/","Non indexable","Canonisé","2","","5","4","0","4,650","145","54","0","4","4","0"
"https://www.oppy.ai/touch-and-pay/","Non indexable","Canonisé","2","","2","2","0","2,330","60","26","0","4","4","0"
"https://www.oppy.ai/acquisition/","Non indexable","Canonisé","2","","1","1","0","1,160","59","24","0","7","6","0"
"https://www.oppy.ai/module-rendez-vous/","Non indexable","Canonisé","2","","1","1","0","1,160","59","25","0","4","4","0"
"https://www.oppy.ai/rcs-cas-usage/","Indexable","","2","","1","1","0","1,160","55","22","0","5","5","0"
"https://www.oppy.ai/videobot/","Non indexable","Canonisé","2","","1","1","0","1,160","58","24","0","4","4","0"
"https://www.oppy.ai/qui-sommes-nous/","Non indexable","Canonisé","2","","1","1","0","1,160","56","23","0","4","4","0"
"https://www.oppy.ai/rcs-acquisition/","Non indexable","Canonisé","2","","19","7","0","8,140","68","27","0","9","9","0"
"https://www.oppy.ai/rcs-message/","Non indexable","Canonisé","2","","1","1","0","1,160","67","25","0","4","4","0"
"https://www.oppy.ai/contactez-nous/","Non indexable","Canonisé","2","","2","1","0","1,160","55","22","0","4","4","0"
"https://www.oppy.ai/notre-plateforme/","Indexable","","2","","5","1","0","1,160","61","24","0","4","4","0"
"https://www.oppy.ai/allmysms/","Non indexable","Canonisé","2","","1","1","0","1,160","57","23","0","5","5","0"
"https://www.oppy.ai/sms-email/","Non indexable","Canonisé","2","","3","3","0","3,490","58","24","0","4","4","0"
"https://www.oppy.ai/marketing-conversationnel/","Indexable","","2","","10","4","0","4,650","64","26","0","9","8","0"
"https://www.oppy.ai/agent-ia-vocal/","Non indexable","Canonisé","2","","1","1","0","1,160","57","23","0","4","4","0"
"https://www.oppy.ai/agent-ia-vocal-taux-contact/","Indexable","","3","","11","4","0","4,650","65","26","0","8","8","0"
"https://www.oppy.ai/rcs-vs-sms/","Indexable","","3","","13","5","0","5,810","65","26","0","10","10","0"
"https://www.oppy.ai/rcs-essai-gratuit/","Non indexable","Canonisé","3","","2","2","0","2,330","3","2","0","0","0","0"
"https://www.oppy.ai/rcs-demo/","Indexable","","3","","2","2","0","2,330","55","23","0","4","4","0"
"https://www.oppy.ai/category/categorie-acquisition/","Non indexable","Canonisé","3","","15","11","0","12,790","71","30","0","18","5","0"
"https://www.oppy.ai/leviers-outbound-marketing/","Non indexable","Canonisé","3","","12","4","0","4,650","66","26","0","9","9","0"
"https://www.oppy.ai/rcs-vs-whatsapp/","Indexable","","3","","16","6","0","6,980","66","26","0","12","12","0"
"https://www.oppy.ai/parcours-client-digital/","Non indexable","Canonisé","3","","17","6","0","6,980","67","26","0","8","8","0"
"https://www.oppy.ai/cout-agent-ia-vocal/","Non indexable","Canonisé","3","","18","6","0","6,980","68","26","0","8","8","0"
"https://www.oppy.ai/category/telemarketing/","Non indexable","Canonisé","3","","3","3","0","3,490","61","25","0","4","4","0"
"https://www.oppy.ai/blog/page/2/","Non indexable","Canonisé","3","","6","4","0","4,650","152","49","0","4","4","0"
"https://www.oppy.ai/service-client-proactif/","Indexable","","3","","20","6","0","6,980","70","26","0","8","8","0"
"https://www.oppy.ai/rcs-e-commerce/","Indexable","","3","","20","7","0","8,140","68","26","0","9","9","0"
"https://www.oppy.ai/category/categorie-agent-ia-vocal/","Non indexable","Canonisé","3","","29","17","0","19,770","79","34","0","24","5","0"
"https://www.oppy.ai/author/a-abdelrahmanoppycx-com/","Non indexable","noindex","3","","6","3","0","3,490","61","24","0","4","4","0"
