"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité"
"https://www.oppy.ai/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/agent-ia-vocal","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/relation-clients","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/marketing/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/sms-email","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/contact/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/rcs-message","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/notre-plateforme","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/rcs/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/contact","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/gestion-des-cookies/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/qui-sommes-nous","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/rcs-cas-usage","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/retention-et-paiement","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/videobot","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/acquisition","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/module-rendez-vous","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/relation-clients/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/blog","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/signature-vocale","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/retention-et-paiement/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/touch-and-pay","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/mentions-legales/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/contactez-nous","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/mentions-legales/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/retention-et-paiement/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/politique-de-confidentialite/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://oppy.ai/mentions-legales/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://www.oppy.ai/politique-de-confidentialite/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/touch-and-pay/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/signature-vocale/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/relation-clients/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/blog/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/quality-monitoring/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/module-rendez-vous/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/acquisition/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/rcs-cas-usage/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://www.oppy.ai/videobot/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/qui-sommes-nous/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/agent-ia-vocal/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/marketing-conversationnel/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://www.oppy.ai/allmysms/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/sms-email/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/contactez-nous/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/gestion-des-cookies/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/videobot","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/rcs-message/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/notre-plateforme/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://www.oppy.ai/rcs-acquisition/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://oppy.ai/rcs-cas-usage","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/relation-clients","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/sms-email","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/qui-sommes-nous","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/blog","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/notre-plateforme","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/politique-de-confidentialite/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://oppy.ai/agent-ia-vocal","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/module-rendez-vous","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/acquisition","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/contactez-nous","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/touch-and-pay","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/rcs-message","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/retention-et-paiement","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/mentions-legales/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/signature-vocale","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/touch-and-pay/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://oppy.ai/gestion-des-cookies/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://oppy.ai/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/signature-vocale/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/2000/uag-js-2120.js?ver=1774195092","text/html; charset=UTF-8","302","Found","Non indexable","Redirigé"
"https://www.oppy.ai/rcs-essai-gratuit","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/2000/uag-css-2110.css?ver=1774195092","text/html; charset=UTF-8","302","Found","Non indexable","Redirigé"
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/2000/uag-js-2110.js?ver=1774195092","text/html; charset=UTF-8","302","Found","Non indexable","Redirigé"
"https://www.oppy.ai/category/categorie-marketing-relationnel/","text/html; charset=UTF-8","200","OK","Indexable",""
