"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité"
"https://www.oppy.ai/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/marketing/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/agent-ia-vocal","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/sms-email","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/relation-clients","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/contact/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/notre-plateforme","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/rcs/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/rcs-message","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/contact","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/qui-sommes-nous","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/gestion-des-cookies/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/rcs-cas-usage","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/retention-et-paiement","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/videobot","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/module-rendez-vous","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/acquisition","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/relation-clients/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/blog","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/retention-et-paiement/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/signature-vocale","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/touch-and-pay","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/mentions-legales/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/contactez-nous","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/mentions-legales/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/retention-et-paiement/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/politique-de-confidentialite/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://oppy.ai/mentions-legales/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://www.oppy.ai/signature-vocale/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/politique-de-confidentialite/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/relation-clients/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/quality-monitoring/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé"
"https://www.oppy.ai/blog/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/touch-and-pay/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/acquisition/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
"https://www.oppy.ai/module-rendez-vous/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé"
