"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Hachage","Longueur","Élément de lien en version canonique 1","Adresse codée en URL"
"https://www.oppy.ai/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","1045b0e23ea147b19ecba5104c25d374","20","https://opportunity-crm.com/","https://www.oppy.ai/"
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/kt-tabs.min.js?ver=3.5.11","application/javascript","200","OK","Indexable","","","98","","https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/kt-tabs.min.js?ver=3.5.11"
"https://www.oppy.ai/wp-content/themes/kadence/assets/css/header.min.css?ver=1.2.26","text/css","200","OK","Indexable","","","82","","https://www.oppy.ai/wp-content/themes/kadence/assets/css/header.min.css?ver=1.2.26"
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/popper.min.js?ver=3.5.11","application/javascript","200","OK","Indexable","","","97","","https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/popper.min.js?ver=3.5.11"
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/uagb-button-child.min.js?ver=2.19.10","application/javascript","200","OK","Indexable","","","115","","https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/uagb-button-child.min.js?ver=2.19.10"
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/slick.min.js?ver=2.19.10","application/javascript","200","OK","Indexable","","","103","","https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/slick.min.js?ver=2.19.10"
"https://www.oppy.ai/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1","text/css","200","OK","Indexable","","","85","","https://www.oppy.ai/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1"
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/kb-tippy.min.js?ver=3.5.11","application/javascript","200","OK","Indexable","","","99","","https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/kb-tippy.min.js?ver=3.5.11"
"https://www.oppy.ai/wp-content/themes/kadence/assets/css/footer.min.css?ver=1.2.26","text/css","200","OK","Indexable","","","82","","https://www.oppy.ai/wp-content/themes/kadence/assets/css/footer.min.css?ver=1.2.26"
"https://www.oppy.ai/wp-content/themes/kadence-child/style.css?ver=bab062fd42cb01a60133b38393d88267","text/css","200","OK","Indexable","","","98","","https://www.oppy.ai/wp-content/themes/kadence-child/style.css?ver=bab062fd42cb01a60133b38393d88267"
"https://www.oppy.ai/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","application/javascript","200","OK","Indexable","","","73","","https://www.oppy.ai/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1"
"https://www.oppy.ai/wp-content/themes/kadence/style.css?ver=bab062fd42cb01a60133b38393d88267","text/css","200","OK","Indexable","","","92","","https://www.oppy.ai/wp-content/themes/kadence/style.css?ver=bab062fd42cb01a60133b38393d88267"
"https://www.oppy.ai/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.1","application/javascript","200","OK","Indexable","","","82","","https://www.oppy.ai/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.1"
"https://www.oppy.ai/wp-content/plugins/wp-statistics/assets/js/tracker.js?ver=14.15.1","application/javascript","200","OK","Indexable","","","85","","https://www.oppy.ai/wp-content/plugins/wp-statistics/assets/js/tracker.js?ver=14.15.1"
"https://www.oppy.ai/wp-content/themes/kadence/assets/js/navigation.min.js?ver=1.2.26","application/javascript","200","OK","Indexable","","","84","","https://www.oppy.ai/wp-content/themes/kadence/assets/js/navigation.min.js?ver=1.2.26"
"https://www.oppy.ai/marketing/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","","30","","https://www.oppy.ai/marketing/"
"https://www.oppy.ai/agent-ia-vocal","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","","34","","https://www.oppy.ai/agent-ia-vocal"
"https://www.oppy.ai/sms-email","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","","29","","https://www.oppy.ai/sms-email"
"https://www.oppy.ai/wp-content/themes/kadence-child/css/audio-bar.css?ver=1.0.0","text/css","200","OK","Indexable","","","79","","https://www.oppy.ai/wp-content/themes/kadence-child/css/audio-bar.css?ver=1.0.0"
"https://www.oppy.ai/relation-clients","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","","36","","https://www.oppy.ai/relation-clients"
"https://www.oppy.ai/allmysms","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","","28","","https://www.oppy.ai/allmysms"
"https://www.oppy.ai/wp-content/plugins/contact-form-7/modules/recaptcha/index.js?ver=6.1","application/javascript","200","OK","Indexable","","","88","","https://www.oppy.ai/wp-content/plugins/contact-form-7/modules/recaptcha/index.js?ver=6.1"
"https://www.oppy.ai/wp-content/uploads/elementor/css/post-369.css?ver=1773673874","text/css","200","OK","Indexable","","","80","","https://www.oppy.ai/wp-content/uploads/elementor/css/post-369.css?ver=1773673874"
"https://www.oppy.ai/wp-content/themes/kadence-child/css/block-call-to-action.css?ver=1.0.0","text/css","200","OK","Indexable","","","90","","https://www.oppy.ai/wp-content/themes/kadence-child/css/block-call-to-action.css?ver=1.0.0"
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/spectra-block-positioning.min.css?ver=2.19.10","text/css","200","OK","Indexable","","","125","","https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/spectra-block-positioning.min.css?ver=2.19.10"
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-rowlayout.css?ver=3.5.11","text/css","200","OK","Indexable","","","96","","https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-rowlayout.css?ver=3.5.11"
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-js-8.js?ver=1774194342","application/javascript","200","OK","Indexable","","","85","","https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-js-8.js?ver=1774194342"
