"Adresse","Occurrences","Indexabilité","Statut d'indexabilité","Élément de lien en version canonique 1","Version canonique HTTP","Meta Robots 1","Balise X-Robots 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.oppy.ai/","1","Non indexable","Canonisé","https://opportunity-crm.com/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/gestion-des-cookies/","1","Non indexable","Canonisé","https://oppycx.com/gestion-des-cookies/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/relation-clients/","1","Non indexable","Canonisé","https://oppycx.com/relation-clients/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/retention-et-paiement/","1","Non indexable","Canonisé","https://oppycx.com/retention-et-paiement/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/mentions-legales/","1","Non indexable","Canonisé","https://oppy.ai/mentions-legales/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/politique-de-confidentialite/","1","Non indexable","Canonisé","https://oppycx.fr/politique-de-confidentialite/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://oppy.ai/mentions-legales/","1","Indexable","","https://oppy.ai/mentions-legales/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/signature-vocale/","1","Non indexable","Canonisé","https://oppycx.com/signature-vocale/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/blog/","1","Non indexable","Canonisé","https://www.opportunity-crm.com/blog/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/touch-and-pay/","1","Non indexable","Canonisé","https://oppycx.com/touch-and-pay/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/acquisition/","1","Non indexable","Canonisé","https://opportunity-crm.com/acquisition/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/module-rendez-vous/","1","Non indexable","Canonisé","https://oppycx.com/module-rendez-vous/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/rcs-cas-usage/","1","Indexable","","https://www.oppy.ai/rcs-cas-usage/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/videobot/","1","Non indexable","Canonisé","https://oppycx.com/videobot/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/qui-sommes-nous/","1","Non indexable","Canonisé","https://www.oppycx.com/qui-sommes-nous/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/rcs-acquisition/","1","Non indexable","Canonisé","https://opportunity-crm.com/rcs-acquisition/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/rcs-message/","1","Non indexable","Canonisé","https://opportunity-crm.com/rcs-message/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/contactez-nous/","1","Non indexable","Canonisé","https://opportunity-crm.com/contactez-nous/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/notre-plateforme/","1","Indexable","","https://www.oppy.ai/notre-plateforme/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/allmysms/","1","Non indexable","Canonisé","https://oppycx.fr/allmysms/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/sms-email/","1","Non indexable","Canonisé","https://oppycx.com/sms-email/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/marketing-conversationnel/","1","Indexable","","https://www.oppy.ai/marketing-conversationnel/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/agent-ia-vocal/","1","Non indexable","Canonisé","https://www.oppycx.com/agent-ia-vocal/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/agent-ia-vocal-taux-contact/","1","Indexable","","https://www.oppy.ai/agent-ia-vocal-taux-contact/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/rcs-vs-sms/","1","Indexable","","https://www.oppy.ai/rcs-vs-sms/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/rcs-essai-gratuit/","1","Non indexable","Canonisé","https://opportunity-crm.com/rcs-essai-gratuit/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/rcs-demo/","1","Indexable","","https://www.oppy.ai/rcs-demo/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/category/categorie-acquisition/","1","Non indexable","Canonisé","https://oppy.ai/category/categorie-acquisition/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/leviers-outbound-marketing/","1","Non indexable","Canonisé","https://opportunity-crm.com/leviers-outbound-marketing/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/rcs-vs-whatsapp/","1","Indexable","","https://www.oppy.ai/rcs-vs-whatsapp/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/parcours-client-digital/","1","Non indexable","Canonisé","https://opportunity-crm.com/parcours-client-digital/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/cout-agent-ia-vocal/","1","Non indexable","Canonisé","https://opportunity-crm.com/cout-agent-ia-vocal/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/category/telemarketing/","1","Non indexable","Canonisé","https://opportunity-crm.com/category/telemarketing/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/blog/page/2/","1","Non indexable","Canonisé","https://www.opportunity-crm.com/blog/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/service-client-proactif/","1","Indexable","","https://www.oppy.ai/service-client-proactif/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/rcs-e-commerce/","1","Indexable","","https://www.oppy.ai/rcs-e-commerce/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/category/categorie-agent-ia-vocal/","1","Non indexable","Canonisé","https://oppy.ai/category/categorie-agent-ia-vocal/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://oppy.ai/category/categorie-agent-ia-vocal/page/2/","","",""
"https://www.oppy.ai/author/a-abdelrahmanoppycx-com/","0","Non indexable","noindex","","","noindex, follow","","","","",""
"https://www.oppy.ai/joignabilite/","1","Non indexable","Canonisé","https://opportunity-crm.com/joignabilite/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/category/concours/","1","Indexable","","https://www.oppy.ai/category/concours/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/satisfaction-client/","1","Non indexable","Canonisé","https://opportunity-crm.com/satisfaction-client/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/kpi-service-client/","1","Indexable","","https://www.oppy.ai/kpi-service-client/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/outils-fidelisation-client/","1","Non indexable","Canonisé","https://opportunity-crm.com/outils-fidelisation-client/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/blog/page/3/","1","Non indexable","Canonisé","https://www.opportunity-crm.com/blog/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/dites-oui-et-cest-signe-apres-la-signature-electronique-la-signature-vocale-disrupte-lexperience-client/","1","Non indexable","Canonisé","https://opportunity-crm.com/dites-oui-et-cest-signe-apres-la-signature-electronique-la-signature-vocale-disrupte-lexperience-client/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.oppy.ai/author/opportunity/","0","Non indexable","noindex","","","noindex, follow","","","","",""
