"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Liens entrants","Temps de réponse","URL de redirection","Type de redirection"
"https://www.promovacances.com/","text/html;charset=UTF-8","200","OK","Indexable","","767","0,014","",""
"https://static.promovacances.com/photos/vacances-cap-vert/santa-maria/piscine-framissima-oasis-belorizonte_836996_panobd.jpg","image/webp","200","OK","Indexable","","0","0,010","",""
"https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js","text/javascript","200","OK","Indexable","","0","0,014","",""
"https://static.promovacances.com/photos/vacances-grece/vassilikos/piscine-framissima-elion-seaside-resort_838850_panobd.jpg","image/webp","200","OK","Indexable","","0","0,054","",""
"https://static.promovacances.com/photos/vacances-finlande/saariselka/rennes-framissima-holiday-club-laponie-activites-incluses_828394_panobd.jpg","image/webp","200","OK","Indexable","","0","0,035","",""
"https://www.promovacances.com/destinations/vacances-et-sejours/vacances-en-famille/theme,28/","text/html;charset=UTF-8","200","OK","Indexable","","384","0,059","",""
"https://www.promovacances.com/information/","text/html;charset=UTF-8","200","OK","Indexable","","431","0,305","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-italie/","text/html;charset=UTF-8","200","OK","Indexable","","122","0,041","",""
"https://fr.trustpilot.com/review/www.promovacances.com","text/html; charset=utf-8","200","OK","Indexable","","2","0,523","",""
"https://www.promovacances.com/resources/static/dist/obflnk/obflnk.js?r=edc974b935494fc24f6fa8e225835003","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0,008","",""
"https://www.promovacances.com/resources/static/dist/adsByGoogle/adsByGoogle.js?r=edc974b935494fc24f6fa8e225835003","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0,048","",""
"https://static.promovacances.com/photos/vacances-thailande/bangkok/parc-ayutthaya-essentiels-de-la-thailande_880008_panobd.jpg","image/webp","200","OK","Indexable","","0","0,030","",""
"https://www.promovacances.com/idees-vacances/vacances-disney/","text/html;charset=UTF-8","200","OK","Indexable","","386","0,028","",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-maroc/theme,/pays,149/ville,/","text/html;charset=UTF-8","200","OK","Indexable","","420","0,013","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-dubai-city/dubai-et-emirats-emirats-arabes-unis/","text/html;charset=UTF-8","200","OK","Indexable","","78","0,013","",""
"https://www.promovacances.com/information/questions-frequentes/","","301","Moved Permanently","Non indexable","Redirigé","1","0,133","https://aide.promovacances.com/","Redirection HTTP"
"https://www.promovacances.com/resources/static/dist/home/home.js?r=edc974b935494fc24f6fa8e225835003","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0,008","",""
"https://www.promovacances.com/hotel-sagitario-princesa-playa/minorque-ciutadella-47475.html","text/html;charset=UTF-8","200","OK","Indexable","","5","1,463","",""
"https://www.promovacances.com/france/campings-france/","text/html;charset=UTF-8","200","OK","Indexable","","385","0,039","",""
"https://www.promovacances.com/resources/static/dist/common/common.js?r=edc974b935494fc24f6fa8e225835003","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0,008","",""
"https://www.promovacances.com/voyage-pas-cher/vacances-pas-chers/","text/html;charset=UTF-8","200","OK","Indexable","","386","2,721","",""
"https://fonts.googleapis.com/css2?family=Poppins:wght@400;500;600;700;800;900&display=swap","text/css; charset=utf-8","200","OK","Indexable","","0","0,023","",""
"https://www.promovacances.com/idees-vacances/offres-croisieres-iles-grenadines/","text/html;charset=UTF-8","200","OK","Indexable","","383","0,026","",""
"https://www.promovacances.com/fstrz/r/s/static.service-voyages.com/photos/vignettes/promovacances.com/20251219130659-promovacances.com-Tout-compris-310X277_Desktop_PMVC.jpg","","0","Bloqué par robots.txt","Non indexable","Bloqué par robots.txt","0","","",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-mexique/theme,/pays,153/ville,/","text/html;charset=UTF-8","200","OK","Indexable","","398","0,052","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-tanzanie/","text/html;charset=UTF-8","200","OK","Indexable","","17","0,955","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-jordanie/","","301","Moved Permanently","Non indexable","Redirigé","13","13,057","https://www.promovacances.com/","Redirection HTTP"
"https://www.promovacances.com/resources/static/dist/common/ventes-flash.svg?r=edc974b935494fc24f6fa8e225835003","image/svg+xml; charset=UTF-8","200","OK","Indexable","","0","0,021","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-rhodes/iles-grecques-grece/","","301","Moved Permanently","Non indexable","Redirigé","13","8,457","https://www.promovacances.com/","Redirection HTTP"
"https://www.promovacances.com/croisiere-egypte/gloire-des-pharaons-79859.html","text/html;charset=UTF-8","200","OK","Indexable","","4","0,656","",""
"https://www.promovacances.com/hotel-jumbo-riu-lupita/mexique-playa-del-carmen-61611.html","text/html;charset=UTF-8","200","OK","Indexable","","6","0,020","",""
"https://www.promovacances.com/fstrz/r/s/static.service-voyages.com/photos/vignettes/promovacances.com/20251219130652-promovacances.com-Sejour-tunisie-310X574_Desktop_PMVC.jpg","","0","Bloqué par robots.txt","Non indexable","Bloqué par robots.txt","0","","",""
"https://www.promovacances.com/fstrz/r/s/static.service-voyages.com/photos/vignettes/promovacances.com/20260217102014-promovacances.com-OP_hp_mobile_pmvc_345x345.jpg","","0","Bloqué par robots.txt","Non indexable","Bloqué par robots.txt","0","","",""
"https://fonts.googleapis.com/css2?family=Nunito:wght@400;500;600;700;800;900&display=swap","text/css; charset=utf-8","200","OK","Indexable","","0","0,052","",""
"https://www.promovacances.com/hotel-ramada-attica-riviera/grece-vravrona-59188.html","text/html;charset=UTF-8","200","OK","Indexable","","2","0,805","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-egypte/","text/html;charset=UTF-8","200","OK","Indexable","","23","1,165","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-oman/","text/html;charset=UTF-8","200","OK","Indexable","","6","0,753","",""
"https://static.promovacances.com/photos/vacances-inde/delhi/taj-mahal-beautes-du-rajasthan_489457_panobd.jpg","image/webp","200","OK","Indexable","","0","0,031","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-agadir/maroc-balneaire-maroc/","","301","Moved Permanently","Non indexable","Redirigé","55","16,391","https://www.promovacances.com/","Redirection HTTP"
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-egypte/theme,/pays,62/ville,/","text/html;charset=UTF-8","200","OK","Indexable","","386","15,500","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-bali/indonesie/","text/html;charset=UTF-8","200","OK","Indexable","","43","16,313","",""
"https://www.promovacances.com/destinations/week-end-pas-cher/sejour-week-end/theme,/","text/html;charset=UTF-8","200","OK","Indexable","","386","0,021","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-madere/","text/html;charset=UTF-8","200","OK","Indexable","","25","0,015","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-ile-maurice/","text/html;charset=UTF-8","200","OK","Indexable","","26","1,859","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-portugal/","text/html;charset=UTF-8","200","OK","Indexable","","23","6,177","",""
"https://www.promovacances.com/resources/static/dist/pmvc/logo-desktop.svg?r=edc974b935494fc24f6fa8e225835003","image/svg+xml; charset=UTF-8","200","OK","Indexable","","0","0,011","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-grece/","text/html;charset=UTF-8","200","OK","Non indexable","noindex","108","0,020","",""
"https://www.promovacances.com/affiliation/","","0","Bloqué par robots.txt","Non indexable","Bloqué par robots.txt","1","","",""
"https://www.promovacances.com/circuit-thailande/essentiels-de-la-thailande-62681.html","text/html;charset=UTF-8","200","OK","Indexable","","5","5,925","",""
"https://www.promovacances.com/accueil/ski/","text/html;charset=UTF-8","200","OK","Indexable","","1150","0,014","",""
"https://www.promovacances.com/france/club-le-village-des-isles-haute-corse-taglio-48641.html","text/html;charset=UTF-8","200","OK","Indexable","","4","0,011","",""
"https://static.promovacances.com/photos/vacances-tunisie/hammamet/vue-panoramique-jumbo-hammamet-beach_478186_panobd.jpg","image/webp","200","OK","Indexable","","0","0,036","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-sardaigne/italie/","text/html;charset=UTF-8","200","OK","Indexable","","129","0,714","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-sri-lanka/","text/html;charset=UTF-8","200","OK","Indexable","","14","0,460","",""
"https://www.promovacances.com/idees-vacances/partir/vacances-avril/","text/html;charset=UTF-8","200","OK","Indexable","","383","0,970","",""
"https://static.promovacances.com/photos/vacances-croatie/drvenik/pano-jumbo-quercus_557137_panobd.jpg","image/webp","200","OK","Indexable","","0","0,050","",""
"https://static.promovacances.com/photos/vacances-egypte/louxor/nil-gloire-des-pharaons_512331_panobd.jpg","image/webp","200","OK","Indexable","","0","0,038","",""
"https://www.promovacances.com/hotel-framissima-elion-seaside-resort/grece-vassilikos-74259.html","text/html;charset=UTF-8","200","OK","Indexable","","2","1,720","",""
"https://www.promovacances.com/circuit-corse/decouverte-dexception-propriano-les-pieds-dans-leau-au-belambra-arena-bianca-79798.html","text/html;charset=UTF-8","200","OK","Indexable","","3","0,710","",""
"https://www.promovacances.com/resources/static/dist/reduxVendor/reduxVendor.js?r=edc974b935494fc24f6fa8e225835003","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0,008","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-malte/","text/html;charset=UTF-8","200","OK","Indexable","","7","0,069","",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-canada/theme,/pays,37/ville,/","text/html;charset=UTF-8","200","OK","Indexable","","22","0,891","",""
"https://www.promovacances.com/accueil/france/","text/html;charset=UTF-8","200","OK","Indexable","","769","0,029","",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-inde/theme,/pays,118/ville,/","text/html;charset=UTF-8","200","OK","Indexable","","386","0,015","",""
"https://www.promovacances.com/hotel-jumbo-hammamet-beach/tunisie-hammamet-53550.html","text/html;charset=UTF-8","200","OK","Indexable","","4","0,556","",""
"https://9hh58l04sa.kameleoon.eu/engine.js","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,051","",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-costa-rica/theme,/pays,52/ville,/","text/html;charset=UTF-8","200","OK","Indexable","","385","0,009","",""
"https://www.promovacances.com/fstrz/beacon-2.5.1.min.js","text/javascript","200","OK","Indexable","","0","0,014","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-baleares/espagne/","text/html;charset=UTF-8","200","OK","Indexable","","129","0,580","",""
"https://lemag.promovacances.com/","text/html; charset=UTF-8","200","OK","Indexable","","7","3,674","",""
"https://www.promovacances.com/voyage-responsable/","","0","Bloqué par robots.txt","Non indexable","Bloqué par robots.txt","1","","",""
"https://static.promovacances.com/photos/vacances-grece/vravrona/piscine-du-ramada-attica-riviera-ramada-attica-riviera_554501_panobd.jpg","image/webp","200","OK","Indexable","","0","0,033","",""
"https://static.promovacances.com/photos/vacances-grece/eretria/piscine-jumbo-petit-village-proche-palmariva_835359_panobd.jpg","image/webp","200","OK","Indexable","","0","0,041","",""
"https://www.promovacances.com/hotel-jumbo-petit-village-proche-palmariva/grece-eretria-75582.html","text/html;charset=UTF-8","200","OK","Indexable","","3","3,909","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-japon/","text/html;charset=UTF-8","200","OK","Indexable","","12","0,801","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-maldives/","text/html;charset=UTF-8","200","OK","Indexable","","55","1,010","",""
"https://www.promovacances.com/accueil/voyage-tout-compris/","text/html;charset=UTF-8","200","OK","Indexable","","778","0,010","",""
"https://www.promovacances.com/resources/static/dist/axiosVendor/axiosVendor.js?r=edc974b935494fc24f6fa8e225835003","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0,012","",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-thailande/theme,/pays,215/ville,/","text/html;charset=UTF-8","200","OK","Indexable","","398","0,018","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-sicile/sicile-et-italie-du-sud-italie/","text/html;charset=UTF-8","200","OK","Indexable","","112","0,016","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-thailande/","text/html;charset=UTF-8","200","OK","Indexable","","62","0,012","",""
"https://www.promovacances.com/resources/static/dist/script_gtm/script_gtm.js?r=edc974b935494fc24f6fa8e225835003","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0,014","",""
"https://fonts.googleapis.com/css2?family=Sniglet&display=swap","text/css; charset=utf-8","200","OK","Indexable","","0","0,049","",""
"https://www.promovacances.com/destinations/sejour-voyage/sejour/theme,/","text/html;charset=UTF-8","200","OK","Indexable","","386","0,058","",""
"https://www.promovacances.com/accueil/sejour-thalasso/","text/html;charset=UTF-8","200","OK","Indexable","","769","0,031","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-martinique/iles-grenadines-antilles/","text/html;charset=UTF-8","200","OK","Indexable","","15","0,825","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-croatie-et-cote-dalmate/","text/html;charset=UTF-8","200","OK","Indexable","","99","0,558","",""
"https://www.promovacances.com/hotel-framissima-oasis-belorizonte/cap-vert-santa-maria-61514.html","text/html;charset=UTF-8","200","OK","Indexable","","6","1,139","",""
"https://www.promovacances.com/mes-favoris/","text/html;charset=UTF-8","200","OK","Non indexable","noindex","384","0,238","",""
"https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;600;700;800&display=swap","text/css; charset=utf-8","200","OK","Indexable","","0","0,061","",""
"https://www.promovacances.com/hotel-jumbo-castell-dels-hams/baleares-porto-cristo-61409.html","text/html;charset=UTF-8","200","OK","Indexable","","7","0,012","",""
"https://www.promovacances.com/accueil/circuit-touristique/","text/html;charset=UTF-8","200","OK","Indexable","","776","0,044","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-etats-unis/","text/html;charset=UTF-8","200","OK","Indexable","","60","0,014","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-punta-cana/republique-dominicaine/","text/html;charset=UTF-8","200","OK","Indexable","","6","0,919","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-espagne/","text/html;charset=UTF-8","200","OK","Indexable","","96","0,012","",""
"https://fonts.googleapis.com/css2?family=Inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&display=swap","text/css; charset=utf-8","200","OK","Indexable","","0","0,045","",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-senegal/theme,/pays,196/ville,/","text/html;charset=UTF-8","200","OK","Indexable","","384","0,018","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-turquie/","text/html;charset=UTF-8","200","OK","Indexable","","12","0,784","",""
"https://www.promovacances.com/information/securite-paiement/","text/html;charset=UTF-8","200","OK","Indexable","","1","0,431","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-djerba/tunisie/","text/html;charset=UTF-8","200","OK","Indexable","","19","0,669","",""
"https://static.promovacances.com/photos/vacances-minorque/ciutadella/vue-panoramique-sagitario-princesa-playa_492193_panobd.jpg","image/webp","200","OK","Indexable","","0","0,067","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-maroc/","text/html;charset=UTF-8","200","OK","Indexable","","135","0,015","",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-canaries/theme,/pays,38/ville,/","text/html;charset=UTF-8","200","OK","Indexable","","383","0,590","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-guadeloupe/antilles/","text/html;charset=UTF-8","200","OK","Indexable","","12","0,010","",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-laponie/finlande/","","301","Moved Permanently","Non indexable","Redirigé","4","0,099","https://www.promovacances.com/vacances-sejour-hotel/voyage-laponie/","Redirection HTTP"
"https://www.promovacances.com/idees-vacances/vacances-campings/","text/html;charset=UTF-8","200","OK","Indexable","","766","0,267","",""
"https://www.promovacances.com/voyage-de-groupe/","text/html;charset=UTF-8","200","OK","Indexable","","385","0,010","",""
"https://www.promovacances.com/idees-vacances/ventes-flash/","text/html;charset=UTF-8","200","OK","Indexable","","769","0,009","",""
