"Chemin d'accès 1","Chemin d'accès 2","Chemin d'accès 3","URL","Indexable","Non indexable"
"https/","","","452","420","32"
"","www.promovacances.com/","","452","420","32"
"","","vacances/","124","124","0"
"","","vacances-sejour-hotel/","66","61","5"
"","","resources/","37","37","0"
"","","fstrz/","24","2","22"
"","","circuit-maroc/","21","21","0"
"","","circuit-italie/","16","16","0"
"","","idees-vacances/","13","13","0"
"","","france/","8","8","0"
"","","accueil/","8","8","0"
"","","voyage/","8","8","0"
"","","destinations/","4","4","0"
"","","autotour-italie/","4","4","0"
"","","circuit-dubai-et-les-emirats/","4","4","0"
"","","circuit-armenie/","4","4","0"
"","","information/","3","2","1"
"","","guide-voyage/","2","2","0"
"","","billet-avion/","2","2","0"
"","","combine-dubai-et-les-emirats/","2","2","0"
"","","hotel-sagitario-princesa-playa/","1","1","0"
"","","voyage-pas-cher/","1","1","0"
"","","croisiere-egypte/","1","1","0"
"","","hotel-jumbo-riu-lupita/","1","1","0"
"","","hotel-ramada-attica-riviera/","1","1","0"
"","","affiliation/","1","0","1"
"","","circuit-thailande/","1","1","0"
"","","hotel-framissima-elion-seaside-resort/","1","1","0"
"","","circuit-corse/","1","1","0"
"","","hotel-jumbo-hammamet-beach/","1","1","0"
"","","voyage-responsable/","1","0","1"
"","","hotel-jumbo-petit-village-proche-palmariva/","1","1","0"
"","","hotel-framissima-oasis-belorizonte/","1","1","0"
"","","mes-favoris/","1","0","1"
"","","hotel-jumbo-castell-dels-hams/","1","1","0"
"","","voyage-de-groupe/","1","1","0"
"","","circuit-inde/","1","1","0"
"","","qui-sommes-nous/","1","1","0"
"","","vol-pas-cher/","1","1","0"
"","","hotel-jumbo-quercus/","1","1","0"
"","","agences-de-voyages/","1","0","1"
"","","hotel-plein-vent-selection-coral-costa-caribe-beach-resort/","1","1","0"
"","","hotel-framissima-holiday-club-laponie-activites-incluses/","1","1","0"
"","","espace-client/","1","1","0"
"","","hotel-baja-bianca-by-ovoyages/","1","1","0"
"","","hotel-oclub-experience-cala-della-torre/","1","1","0"
"","","hotel-coralia-baia-d-oro/","1","1","0"
"","","hotel-framissima-th-marina-di-pisticci-ex-ti-blu-village/","1","1","0"
"","","hotel-genio-rome/","1","1","0"
"","","hotel-framissima-cala-regina/","1","1","0"
"","","hotel-jumbo-eloro/","1","1","0"
"","","hotel-marina-seada-beach/","1","1","0"
"","","hotel-framissima-acqua-di-venere/","1","1","0"
"","","hotel-luxiclub-sol-nessebar-resort/","1","1","0"
"","","hotel-marmara-les-magnolias/","1","1","0"
"","","hotel-janna-e-sole-resort/","1","1","0"
"","","voyage-vacances-sejour/","1","1","0"
"","","circuit-algerie/","1","1","0"
"","","hotel-hopps/","1","1","0"
"","","hotel-baia-d-oro/","1","1","0"
