"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.promovacances.com/","text/html;charset=UTF-8","200","OK","Indexable","","Agence de voyage : voyages pas chers Promovacances","50","490","Réservez votre voyage pas cher et découvrez nos séjours et vacances à petits prix. Bons plans, vols et séjours dernière minute disponibles pour toutes vos envies.","162","1011","","0","Voyage pas cher : nos bons plans vacances","41","","0","Top destinations","16","Nos bons plans","14","index, follow","","","https://www.promovacances.com/","","","","","","509634","78193","78193","29,954","","1297","329","3,942","95,861","Très facile","2,295","0","0","","767","384","0","100,000","153","117","0","13","12","0","","","","","80d53247e33faea1c6e80b0ad8ab2bed","0,014","Wed, 18 Feb 2026 14:11:08 GMT","","","","fr","1.1","","","","","","https://www.promovacances.com/","2026-02-19 14:31:33"
"https://www.promovacances.com/destinations/vacances-et-sejours/vacances-en-famille/theme,28/","text/html;charset=UTF-8","200","OK","Indexable","","Vacances en famille : nos destinations 2026","43","390","Découvrez nos destinations et conseils pour des vacances en famille mémorables alliant plaisir, découverte et budget maîtrisé.","126","794","","0","Vacances en Famille 2026 : Votre Guide pour un Séjour Mémorable","63","","0","Nos vacances en famille par destination","39","Pourquoi choisir des vacances en famille?","41","index, follow","","","https://www.promovacances.com/destinations/vacances-et-sejours/vacances-en-famille/theme,28/","","","","","","427924","68051","68051","26,069","","2652","540","4,911","83,531","Facile","4,680","1","4","","384","383","0","99,740","184","151","0","8","8","0","","","","","97a9f5f02e53e326a801f773638f12e5","0,059","Wed, 18 Feb 2026 14:24:30 GMT","","","","fr","1.1","","","","","","https://www.promovacances.com/destinations/vacances-et-sejours/vacances-en-famille/theme,28/","2026-02-19 14:31:39"
"https://www.promovacances.com/information/","text/html;charset=UTF-8","200","OK","Indexable","","A propos de nous - Promovacances","32","316","Retrouvez toutes les informations sur Promovacances","51","338","","0","Informations Voyageurs","22","","0","Conditions générales de ventes","30","Garantie Total Zen","18","index, follow","","","https://www.promovacances.com/information/","","","","","","218917","44553","44553","17,067","","132","28","4,714","55,282","Assez difficile","2,356","1","1","","431","144","0","37,500","55","44","0","14","14","0","","","","","5a232457b6712f7d3ca96e3b7b3aed48","0,305","Thu, 19 Feb 2026 13:31:40 GMT","","","","fr","1.1","","","","","","https://www.promovacances.com/information/","2026-02-19 14:31:39"
"https://www.promovacances.com/vacances-sejour-hotel/voyage-italie/","text/html;charset=UTF-8","200","OK","Indexable","","Voyage Italie : Vacances, Hôtels & Circuits en Italie","53","446","Voyage Italie 🇮🇹 : Séjours à prix réduit, hôtels, clubs, circuits. Réservez vite avec Promovacances et profitez des offres ! Cliquez ici 🌞","141","816","","0","Voyages en Italie pas cher","26","","0","Réservez vos vacances en Italie","31","Où partir en Italie selon vos envies ?","38","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-italie/","https://www.promovacances.com/vacances-sejour-hotel/voyage-italie/?pageNumber=2","","","","","635673","93591","93591","35,853","","2923","644","4,539","86,138","Facile","3,379","1","2","","122","108","0","28,130","132","113","0","8","8","0","","","","","7589da28d303a712f22aadc5599d58c4","0,041","Wed, 18 Feb 2026 14:24:50 GMT","","","","fr","1.1","","","","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-italie/","2026-02-19 14:31:39"
"https://www.promovacances.com/resources/static/dist/obflnk/obflnk.js?r=edc974b935494fc24f6fa8e225835003","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1348","1348","1348","0,516","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,008","Fri, 13 Feb 2026 17:19:12 GMT","","","","","1.1","","","","","","https://www.promovacances.com/resources/static/dist/obflnk/obflnk.js?r=edc974b935494fc24f6fa8e225835003","2026-02-19 14:31:41"
"https://www.promovacances.com/resources/static/dist/adsByGoogle/adsByGoogle.js?r=edc974b935494fc24f6fa8e225835003","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","494","494","494","0,189","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,048","Fri, 13 Feb 2026 17:19:12 GMT","","","","","1.1","","","","","","https://www.promovacances.com/resources/static/dist/adsByGoogle/adsByGoogle.js?r=edc974b935494fc24f6fa8e225835003","2026-02-19 14:31:42"
"https://www.promovacances.com/idees-vacances/vacances-disney/","text/html;charset=UTF-8","200","OK","Indexable","","Billet Disneyland Paris pas cher, hôtel Disney","46","395","Week-end et sejour à Disneyland Resort Paris : Promovacances vous invite à découvrir sa sélection d'hôtels féériques. Réalisez vos envies avec les dernières offres promo Disneyland Paris : billets et packages. Plongez dans un tourbillon de féérie et évadez-vous au cœur de vos univers Disney préférés","300","1879","","0","Séjours et Weekends à Disneyland Paris","38","","0","","0","","0","index, follow","","","https://www.promovacances.com/idees-vacances/vacances-disney/","","","","","","228644","45742","45742","17,523","","688","103","6,680","75,246","Assez facile","3,704","1","2","","386","383","0","99,740","54","44","0","10","10","0","","","","","e58d343ef58ade90ccda82312941c758","0,028","Wed, 18 Feb 2026 14:24:39 GMT","","","","fr","1.1","","","","","","https://www.promovacances.com/idees-vacances/vacances-disney/","2026-02-19 14:31:42"
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-maroc/theme,/pays,149/ville,/","text/html;charset=UTF-8","200","OK","Indexable","","Circuit Maroc | 120 offres de circuits touristiques","51","432","120 circuits Maroc pas chers avec Promovacances, à partir de 511€ ☀☀. Circuit Maroc 15 jours, 3 semaines. Partez à la découverte des 4 coins du monde. Circuit pas cher à prix promos. ⇨Réservez maintenant !","205","1299","","0","Circuit Maroc","13","","0","Circuit au Maroc","16","La Météo Maroc","14","index, follow","","","https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-maroc/theme,/pays,149/ville,/","https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-maroc/theme,/pays,149/ville,/?pageNumber=2","","","","","632049","87790","87790","33,631","","2400","581","4,131","89,067","Facile","2,888","1","6","","420","383","0","99,740","125","109","0","8","8","0","","","","","6cccacb7953bad97cd94a9d4f1ac9ecf","0,013","Wed, 18 Feb 2026 14:25:00 GMT","","","","fr","1.1","","","","","","https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-maroc/theme,/pays,149/ville,/","2026-02-19 14:31:42"
"https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-dubai-city/dubai-et-emirats-emirats-arabes-unis/","text/html;charset=UTF-8","200","OK","Indexable","","Voyage Dubaï : séjours vol + hôtel au meilleur prix","51","438","Réservez votre voyage à Dubaï : séjours vol + hôtel, tout compris, clubs et circuits aux Émirats arabes unis au meilleur prix.","126","763","","0","Voyages à Dubaï pas cher","24","","0","Réservez votre voyage à Dubaï","29","Pourquoi partir en vacances à Dubaï ?","37","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-dubai-city/dubai-et-emirats-emirats-arabes-unis/","https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-dubai-city/dubai-et-emirats-emirats-arabes-unis/?pageNumber=2","","","","","686886","92934","92934","35,601","","3123","690","4,526","89,116","Facile","3,231","1","3","","78","47","0","12,240","117","101","0","8","8","0","","","","","4851bc5eeb6298a7c576ddecae8cf170","0,013","Wed, 18 Feb 2026 14:52:24 GMT","","","","fr","1.1","","","","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-dubai-city/dubai-et-emirats-emirats-arabes-unis/","2026-02-19 14:31:43"
"https://www.promovacances.com/information/questions-frequentes/","","301","Moved Permanently","Non indexable","Redirigé","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","2","","1","1","0","0,260","0","0","0","0","0","0","","","","","","0,133","","https://aide.promovacances.com/","Redirection HTTP","","","1.1","","","","","","https://www.promovacances.com/information/questions-frequentes/","2026-02-19 14:31:43"
