"Adresse","Occurrences","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Indexabilité","Statut d'indexabilité"
"https://www.promovacances.com/","1","Réservez votre voyage pas cher et découvrez nos séjours et vacances à petits prix. Bons plans, vols et séjours dernière minute disponibles pour toutes vos envies.","162","1011","Indexable",""
"https://www.promovacances.com/destinations/vacances-et-sejours/vacances-en-famille/theme,28/","1","Découvrez nos destinations et conseils pour des vacances en famille mémorables alliant plaisir, découverte et budget maîtrisé.","126","794","Indexable",""
"https://www.promovacances.com/information/","1","Retrouvez toutes les informations sur Promovacances","51","338","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-italie/","1","Voyage Italie 🇮🇹 : Séjours à prix réduit, hôtels, clubs, circuits. Réservez vite avec Promovacances et profitez des offres ! Cliquez ici 🌞","141","816","Indexable",""
"https://www.promovacances.com/idees-vacances/vacances-disney/","1","Week-end et sejour à Disneyland Resort Paris : Promovacances vous invite à découvrir sa sélection d'hôtels féériques. Réalisez vos envies avec les dernières offres promo Disneyland Paris : billets et packages. Plongez dans un tourbillon de féérie et évadez-vous au cœur de vos univers Disney préférés","300","1879","Indexable",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-maroc/theme,/pays,149/ville,/","1","120 circuits Maroc pas chers avec Promovacances, à partir de 511€ ☀☀. Circuit Maroc 15 jours, 3 semaines. Partez à la découverte des 4 coins du monde. Circuit pas cher à prix promos. ⇨Réservez maintenant !","205","1299","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-dubai-city/dubai-et-emirats-emirats-arabes-unis/","1","Réservez votre voyage à Dubaï : séjours vol + hôtel, tout compris, clubs et circuits aux Émirats arabes unis au meilleur prix.","126","763","Indexable",""
"https://www.promovacances.com/hotel-sagitario-princesa-playa/minorque-ciutadella-47475.html","1","Découvrez Sagitario Princesa Playa à Ciutadella, Minorque : dès 390.00€ (VOL+HOTEL). Promos toute l'année !","107","691","Indexable",""
"https://www.promovacances.com/france/campings-france/","1","Camping en France : comparez les offres des plus grands acteurs en quelques clics avec Promovacances. Bons plans campings en France pour les vacances !","151","989","Indexable",""
"https://www.promovacances.com/voyage-pas-cher/vacances-pas-chers/","1","Vacances 2026 : séjours tout compris et locations vacances pas cher en France et Europe. Réservez tôt vos vacances scolaires et profitez des promos.","148","942","Indexable",""
"https://www.promovacances.com/idees-vacances/offres-croisieres-iles-grenadines/","1","Découvrez les Caraïbes d'une façon inédite à bord d'un voilier d'exception. Naviguez d'île en île en catamaran et découvrez une variété de paysages à couper le souffle !","169","1044","Indexable",""
