"Adresse","Indexabilité","Statut d'indexabilité","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien en version canonique 1","Version canonique HTTP","Meta Robots 1","Balise X-Robots 1"
"https://www.promovacances.com/","Indexable","","","","","","https://www.promovacances.com/","","index, follow",""
"https://www.promovacances.com/destinations/vacances-et-sejours/vacances-en-famille/theme,28/","Indexable","","","","","","https://www.promovacances.com/destinations/vacances-et-sejours/vacances-en-famille/theme,28/","","index, follow",""
"https://www.promovacances.com/information/","Indexable","","","","","","https://www.promovacances.com/information/","","index, follow",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-italie/","Indexable","","https://www.promovacances.com/vacances-sejour-hotel/voyage-italie/?pageNumber=2","","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-italie/","","index, follow",""
"https://www.promovacances.com/idees-vacances/vacances-disney/","Indexable","","","","","","https://www.promovacances.com/idees-vacances/vacances-disney/","","index, follow",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-maroc/theme,/pays,149/ville,/","Indexable","","https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-maroc/theme,/pays,149/ville,/?pageNumber=2","","","","https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-maroc/theme,/pays,149/ville,/","","index, follow",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-dubai-city/dubai-et-emirats-emirats-arabes-unis/","Indexable","","https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-dubai-city/dubai-et-emirats-emirats-arabes-unis/?pageNumber=2","","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-dubai-city/dubai-et-emirats-emirats-arabes-unis/","","index, follow",""
"https://www.promovacances.com/hotel-sagitario-princesa-playa/minorque-ciutadella-47475.html","Indexable","","","","","","https://www.promovacances.com/hotel-sagitario-princesa-playa/minorque-ciutadella-47475.html","","index, follow",""
"https://www.promovacances.com/france/campings-france/","Indexable","","https://www.promovacances.com/france/campings-france/?pageNumber=2","","","","https://www.promovacances.com/france/campings-france/","","index, follow",""
"https://www.promovacances.com/voyage-pas-cher/vacances-pas-chers/","Indexable","","","","","","https://www.promovacances.com/voyage-pas-cher/vacances-pas-chers/","","index, follow",""
"https://www.promovacances.com/idees-vacances/offres-croisieres-iles-grenadines/","Indexable","","","","","","https://www.promovacances.com/idees-vacances/offres-croisieres-iles-grenadines/","","index, follow",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-mexique/theme,/pays,153/ville,/","Indexable","","https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-mexique/theme,/pays,153/ville,/?pageNumber=2","","","","https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-mexique/theme,/pays,153/ville,/","","index, follow",""
