"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Liens entrants","Temps de réponse","URL de redirection","Type de redirection"
"https://www.rougier-ple.fr/","text/html;charset=UTF-8","200","OK","Indexable","","851","0,086","",""
"https://www.rougier-ple.fr/library/layer/menu_item_1.png","image/png","200","OK","Indexable","","0","0,103","",""
"https://www.rougier-ple.fr/library/pictures/home_page/slider/Slider-2026-MoisColart.png","image/png","200","OK","Indexable","","0","0,124","",""
"https://www.rougier-ple.fr/library/css/img/livraison-offerte-mars2026-2.gif","image/gif","200","OK","Indexable","","0","0,148","",""
"https://www.rougier-ple.fr/peinture-1584.r.html","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","278","0,111","http://www.rougier-ple.fr/beaux-arts/peinture.r.html","Redirection HTTP"
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-Rougier-2025-S10_03.png","image/png","200","OK","Indexable","","0","0,036","",""
"https://www.rougier-ple.fr/modes-paiement.r.html","text/html;charset=UTF-8","200","OK","Indexable","","278","0,146","",""
"https://www.rougier-ple.fr/peinture-textile.r.html","text/html;charset=UTF-8","200","OK","Indexable","","288","0,763","",""
"https://www.rougier-ple.fr/medium-additif-pigment.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","1,356","",""
"https://www.rougier-ple.fr/craie-ardoise-enfant.r.html","text/html;charset=UTF-8","200","OK","Indexable","","406","1,698","",""
"https://www.rougier-ple.fr/chassis-sur-mesure.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","1,542","",""
"https://www.rougier-ple.fr/peinture-aquarelle.r.html","text/html;charset=UTF-8","200","OK","Indexable","","280","0,583","",""
"https://www.rougier-ple.fr/impression-fine-art.r.html","text/html; charset=UTF-8","302","Found","Non indexable","Redirigé","279","0,321","https://www.rougier-ple.fr/catalogEntryList.html;jsessionid=25BD7238FC844AFDEC8574EA92EBC4B5?storeId=1&langId=1&categoryId=4747","Redirection HTTP"
"https://www.rougier-ple.fr/library/pictures/home_page/h2/bandeau-marques_raphael.jpg","image/jpeg","200","OK","Indexable","","0","0,118","",""
"https://www.rougier-ple.fr/livre-artisanat-art.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,201","",""
"https://www.rougier-ple.fr/library/pictures/footer/Instagram-footer.png","image/png","200","OK","Indexable","","0","0,078","",""
"https://www.rougier-ple.fr/peinture-1597.r.html","text/html;charset=UTF-8","200","OK","Indexable","","407","1,388","",""
"https://www.rougier-ple.fr/linogravure.r.html","text/html;charset=UTF-8","200","OK","Indexable","","279","0,332","",""
"https://www.rougier-ple.fr/planche-dessin-compas-equerre.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","1,324","",""
"https://www.rougier-ple.fr/cahier-de-coloriage.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,535","",""
"https://www.rougier-ple.fr/marques/dejou.r.html","text/html;charset=UTF-8","200","OK","Indexable","","12","2,237","",""
"https://www.scrapmalin.com/","text/html; charset=UTF-8","200","OK","Indexable","","279","0,024","",""
"https://www.rougier-ple.fr/confection-bricolage-enfant.r.html","text/html;charset=UTF-8","200","OK","Indexable","","288","0,311","",""
"https://www.rougier-ple.fr/jeux-societe.r.html","text/html;charset=UTF-8","200","OK","Indexable","","407","1,529","",""
"https://www.rougier-ple.fr/library/layer/menu_item_4.png","image/png","200","OK","Indexable","","0","0,020","",""
"https://www.rougier-ple.fr/enfant-vernis-papier-decopatch.r.html","text/html;charset=UTF-8","200","OK","Indexable","","407","1,492","",""
"https://www.rougier-ple.fr/couture-mode.r.html","text/html;charset=UTF-8","200","OK","Indexable","","288","0,692","",""
"https://www.rougier-ple.fr/jesmonite.r.html","text/html;charset=UTF-8","200","OK","Indexable","","289","2,274","",""
"https://www.rougier-ple.fr/fil-metallique.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,568","",""
"https://www.rougier-ple.fr/coffret-arts-graphiques.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","1,591","",""
"https://www.rougier-ple.fr/platre-1787.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,416","",""
