"Adresse","Occurrences","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Indexabilité","Statut d'indexabilité"
"https://www.rougier-ple.fr/","0","","0","","0","Indexable",""
"https://www.rougier-ple.fr/modes-paiement.r.html","0","","0","","0","Indexable",""
"https://www.rougier-ple.fr/peinture-textile.r.html","17","Peinture Cuir Setacolor Coffret Sélection - Pébéo","49","Peinture Cuir Setacolor Coffret d'initiation - Pébéo","52","Indexable",""
"https://www.rougier-ple.fr/medium-additif-pigment.r.html","35","Médium à peindre Alkiyde LB Qualité Beaux-arts satiné 75 ml - Lefranc Bourgeois","79","Médium à peindre mat LB 75 ml - Lefranc Bourgeois","49","Indexable",""
"https://www.rougier-ple.fr/craie-ardoise-enfant.r.html","10","Pavé aquarellable 4.45 x 5 cm - Art Graf","40","Tableau double face Ardoise/Magnétique - JADE","45","Indexable",""
"https://www.rougier-ple.fr/chassis-sur-mesure.r.html","19","Mini-toile en coton avec chevalet de présentation 6 x 8 cm - Rougier&Plé","72","Baguette pour châssis sur mesure - Rougier&Plé","46","Indexable",""
"https://www.rougier-ple.fr/peinture-aquarelle.r.html","11","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/livre-artisanat-art.r.html","15","Livre Argile autodurcissante 20 projets pour apprendre à modeler - Marabout","75","Le grand livre de la Linogravure","32","Indexable",""
"https://www.rougier-ple.fr/peinture-1597.r.html","35","Peinture par numéros 30 x 30 cm Flower Power Aïssa - Oz International","69","Aquarellum 3D Live Fonds Marins - Sentosphère","45","Indexable",""
"https://www.rougier-ple.fr/linogravure.r.html","4","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/planche-dessin-compas-equerre.r.html","35","Normographe ISO Alphabet 5 mm - Koh I Noor","42","Normographe ISO Alphabet 3,5 mm - Koh I Noor","44","Indexable",""
"https://www.rougier-ple.fr/cahier-de-coloriage.r.html","35","Coloriage Graffy 3D Animaux de la savane - Avenue Mandarine","59","Au fil des saisons 40 Coloriages Mystère - Dessain et Tolra","59","Indexable",""
"https://www.rougier-ple.fr/marques/dejou.r.html","13","Roues à dessin en bois à monter A4 - Dejou","42","Roues à dessin en bois à monter A5 - Dejou","42","Indexable",""
"https://www.rougier-ple.fr/confection-bricolage-enfant.r.html","35","Peluche super soft Coccinelle - Legami","38","Coussin super soft Coccinelle - Legami","38","Indexable",""
"https://www.rougier-ple.fr/jeux-societe.r.html","35","Jeu Qui suis-je ? Who Am I? - Legami","36","Jeu d'adresse Chamboule-tout en bois Forêt - Janod","50","Indexable",""
"https://www.rougier-ple.fr/enfant-vernis-papier-decopatch.r.html","35","Papier Mix & Patch Voyage au Japon 30 x 40 cm 4 pcs - Décopatch","63","Papier Mix & Patch Royal botanic garden 30 x 40 cm 4 pcs - Décopatch","68","Indexable",""
"https://www.rougier-ple.fr/couture-mode.r.html","6","Matière couture","15","Support à décorer","17","Indexable",""
"https://www.rougier-ple.fr/jesmonite.r.html","35","Pigments Naturels 6 x 2 g - Jesmonite","37","Pigments Classiques 6 x 2 g - Jesmonite","39","Indexable",""
"https://www.rougier-ple.fr/fil-metallique.r.html","35","Fil aluminium ø 0,6 mm x 10 m - Graine Créative","47","Fil d'acier ø 0,5 mm x 10 m - Rayher","36","Indexable",""
"https://www.rougier-ple.fr/coffret-arts-graphiques.r.html","35","Set de calligraphie L'écriture égyptienne - Jacques Herbin","58","Set découverte Matériel d'art sec 17 pcs - Faber-Castell","56","Indexable",""
"https://www.rougier-ple.fr/platre-1787.r.html","18","Plâtre synthétique Art Roc 5 Kg - Esprit Composite","50","Plâtre de Moulage Léger Gédéo 1 Kg - Pébéo","42","Indexable",""
"https://www.rougier-ple.fr/aquarelle-miel.r.html","15","Aquarelle extra-fine au miel Palette de 12 demi-godets par Marie Boudon - Sennelier","83","Aquarelle extra-fine au miel Palette de 12 demi-godets par Ondine de Peretti - Sennelier","88","Indexable",""
"https://www.rougier-ple.fr/stylo-effacable.r.html","35","Stylo roller FriXion Ball Plus OnePiece Pointe moyenne 0.7 mm - Pilot","69","Stylo roller FriXion Ball OnePiece Pointe moyenne 0.7 mm - Pilot","64","Indexable",""
