"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://www.rougier-ple.fr/library/layer/menu_item_1.png","image/png","4899","278","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/home_page/slider/Slider-2026-MoisColart.png","image/png","354397","1","Indexable","",""
"https://www.rougier-ple.fr/library/css/img/livraison-offerte-mars2026-2.gif","image/gif","13067","278","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-Rougier-2025-S10_03.png","image/png","80029","1","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/bandeau-marques_raphael.jpg","image/jpeg","19794","1","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/footer/Instagram-footer.png","image/png","8012","278","Indexable","",""
"https://www.rougier-ple.fr/library/layer/menu_item_4.png","image/png","4859","278","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/encarts-bas-site-pass-culture.jpg","image/jpeg","27353","1","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/bandeau-marques_crea.jpg","image/jpeg","21272","1","Indexable","",""
"https://www.rougier-ple.fr/VAD/resources/fr_FR/img/common/logo.png","image/png","15287","278","Indexable","",""
"https://www.rougier-ple.fr/library/layer/menu_item_0.png","image/png","8683","278","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/footer/rea_contact-2025.png","image/png","3321","278","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-Rougier-2025-S10_02.png","image/png","92752","1","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/nepasmanquer.jpg","image/jpeg","11501","1","Indexable","",""
"https://www.rougier-ple.fr/library/layer/menu_item_3.png","image/png","14121","278","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/footer/rea_paiement-securise-2025.png","image/png","4773","278","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/encarts-bas-site-mag.jpg","image/jpeg","26773","1","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-T2S-Home-Nouveautes-2026.jpg","image/jpeg","20133","1","Indexable","",""
"https://www.rougier-ple.fr/library/css/img/encart_layer3.png","image/png","4503","1668","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/footer/Tiktko-Footer.png","image/png","6496","278","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/bandeau-marques-titre.jpg","image/jpeg","14958","1","Indexable","",""
