"Chemin d'accès 1","Chemin d'accès 2","Chemin d'accès 3","URL","Indexable","Non indexable"
"https/","","","480","409","71"
"","www.rougier-ple.fr/","","480","409","71"
"","","phproduct/","62","62","0"
"","","library/","52","52","0"
"","","VAD/","24","21","3"
"","","beaux-arts/","5","5","0"
"","","loisirs-creatifs/","2","1","1"
"","","peinture-1584.r.html","1","0","1"
"","","modes-paiement.r.html","1","1","0"
"","","peinture-textile.r.html","1","1","0"
"","","medium-additif-pigment.r.html","1","1","0"
"","","craie-ardoise-enfant.r.html","1","1","0"
"","","chassis-sur-mesure.r.html","1","1","0"
"","","peinture-aquarelle.r.html","1","1","0"
"","","impression-fine-art.r.html","1","0","1"
"","","livre-artisanat-art.r.html","1","1","0"
"","","peinture-1597.r.html","1","1","0"
"","","linogravure.r.html","1","1","0"
"","","planche-dessin-compas-equerre.r.html","1","1","0"
"","","cahier-de-coloriage.r.html","1","1","0"
"","","marques/","1","1","0"
"","","confection-bricolage-enfant.r.html","1","1","0"
"","","jeux-societe.r.html","1","1","0"
"","","enfant-vernis-papier-decopatch.r.html","1","1","0"
"","","couture-mode.r.html","1","1","0"
"","","jesmonite.r.html","1","1","0"
"","","fil-metallique.r.html","1","1","0"
"","","coffret-arts-graphiques.r.html","1","1","0"
"","","platre-1787.r.html","1","1","0"
"","","aquarelle-miel.r.html","1","1","0"
"","","stylo-effacable.r.html","1","1","0"
"","","livre-beaux-arts.r.html","1","1","0"
"","","livre-loisir.r.html","1","1","0"
"","","gommette-sticker.r.html","1","1","0"
"","","carnet-de-croquis-1586.r.html","1","1","0"
"","","impression.r.html","1","1","0"
"","","machine-de-decoupe.r.html","1","1","0"
"","","perle-bijou.r.html","1","1","0"
"","","tranchefile-signet-1595.r.html","1","1","0"
"","","faber-castell.r.html","1","1","0"
"","","carte-enveloppe-bloc.r.html","1","1","0"
"","","plume-pompon-paillette.r.html","1","1","0"
"","","les-marques.r.html","1","1","0"
"","","encre-de-chine-2997.r.html","1","1","0"
"","","aerographie.r.html","1","1","0"
"","","sac-artiste-carton-dessin-1588.r.html","1","1","0"
"","","cricut-autopress-professionnelle.r.html","1","1","0"
"","","peinture-gouache.r.html","1","1","0"
"","","stylo-quatre-couleurs.r.html","1","1","0"
"","","reliure.r.html","1","1","0"
"","","faq.r.html","1","1","0"
"","","enfant-deco-anniversaire.r.html","1","1","0"
"","","book.r.html","1","1","0"
"","","pate-modeler-1598.r.html","1","1","0"
"","","papier-technique.r.html","1","1","0"
"","","accessoire-arts-graphiques.r.html","1","1","0"
"","","gomme-1591.r.html","1","1","0"
"","","encadrement/","1","1","0"
"","","cyanotype.r.html","1","1","0"
"","","colle-adhesif.r.html","1","1","0"
"","","cosmetiques.r.html","1","1","0"
"","","puzzle-enfants.r.html","1","1","0"
"","","crayon-de-couleur-feutre.r.html","1","1","0"
"","","peinture-chaussures-vetements.r.html","1","1","0"
"","","chevalet-1587.r.html","1","1","0"
