"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.rougier-ple.fr/","text/html;charset=UTF-8","200","OK","Indexable","","Rougier&Plé Magasin loisirs créatifs, Fourniture scolaire Beaux Arts","68","597","Magasin de fournitures pour les métiers d’art et les loisirs créatifs, Rougier & Plé vous propose plus de 20 000 références produits : Livraison rapide","151","923","","0","Matériel Beaux‑Arts & Loisirs Créatifs – Rougier & Plé","54","","0","","0","","0","","","","https://www.rougier-ple.fr/","","","","","","89523","28278","28278","10,833","","857","282","3,039","61,994","Normal","6,451","0","0","","851","278","0","100,000","284","232","0","8","8","0","","","","","31fe742db5b9b2814abb8053a2b92c59","0,086","","","","","fr","1.1","","","","","","https://www.rougier-ple.fr/","2026-03-05 16:58:23"
"https://www.rougier-ple.fr/library/layer/menu_item_1.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","4899","4899","4899","1,877","","0","","","","","0,000","1","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,103","Thu, 28 Nov 2013 10:27:24 GMT","","","","","1.1","","","","","","https://www.rougier-ple.fr/library/layer/menu_item_1.png","2026-03-05 16:58:27"
"https://www.rougier-ple.fr/library/pictures/home_page/slider/Slider-2026-MoisColart.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","354397","354397","354397","135,763","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,124","Mon, 09 Feb 2026 14:46:21 GMT","","","","","1.1","","","","","","https://www.rougier-ple.fr/library/pictures/home_page/slider/Slider-2026-MoisColart.png","2026-03-05 16:58:27"
"https://www.rougier-ple.fr/library/css/img/livraison-offerte-mars2026-2.gif","image/gif","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","13067","13067","13067","5,006","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,148","Wed, 04 Mar 2026 09:03:17 GMT","","","","","1.1","","","","","","https://www.rougier-ple.fr/library/css/img/livraison-offerte-mars2026-2.gif","2026-03-05 16:58:27"
"https://www.rougier-ple.fr/peinture-1584.r.html","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","0","","278","278","0","100,000","0","0","0","0","0","0","","","","","","0,111","","http://www.rougier-ple.fr/beaux-arts/peinture.r.html","Redirection HTTP","","","1.1","","","","","","https://www.rougier-ple.fr/peinture-1584.r.html","2026-03-05 16:58:28"
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-Rougier-2025-S10_03.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","80029","80029","80029","30,658","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,036","Mon, 02 Mar 2026 10:33:12 GMT","","","","","1.1","","","","","","https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-Rougier-2025-S10_03.png","2026-03-05 16:58:28"
"https://www.rougier-ple.fr/modes-paiement.r.html","text/html;charset=UTF-8","200","OK","Indexable","","Modes de paiement chez Rougier & Plé - Rougier & Plé","52","479","Paiement par chèque, virement, mandat administratif chez Rougier & Plé","70","452","","0","POUR PAYER VOTRE COMMANDE PAR CHEQUE, VIREMENT OU CARTE CADEAU :","64","","0","","0","","0","","","","https://www.rougier-ple.fr/modes-paiement.r.html","","","","","","67477","20745","20745","7,947","","1032","319","3,235","73,208","Assez facile","10,006","1","0","","278","278","0","100,000","262","221","0","7","7","0","","","","","eee22286d3147fb93aad688dd4ab98db","0,146","","","","","fr","1.1","","","","","","https://www.rougier-ple.fr/modes-paiement.r.html","2026-03-05 16:58:28"
"https://www.rougier-ple.fr/peinture-textile.r.html","text/html;charset=UTF-8","200","OK","Indexable","","Peinture spéciale textile - Feutre textile - Rougier & Plé","58","473","PEINTURE TEXTILE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","119","728","","0","Peinture textile Feutre textile","31","","0","Peinture Cuir Setacolor Coffret Sélection - Pébéo","49","Peinture Cuir Setacolor Coffret d'initiation - Pébéo","52","","","","https://www.rougier-ple.fr/peinture-textile.r.html","","","","","","96866","27559","27559","10,557","","1136","367","3,095","83,123","Facile","7,284","1","0","","288","278","0","100,000","359","262","0","7","7","0","","","","","631150e3fb9e150581235022da06ddd9","0,763","","","","","fr","1.1","","","","","","https://www.rougier-ple.fr/peinture-textile.r.html","2026-03-05 16:58:27"
"https://www.rougier-ple.fr/medium-additif-pigment.r.html","text/html;charset=UTF-8","200","OK","Indexable","","Médium, Additif, Pigment","24","223","MÉDIUM sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","661","","0","Médium, Additif et Pigment","26","","0","Médium à peindre Alkiyde LB Qualité Beaux-arts satiné 75 ml - Lefranc Bourgeois","79","Médium à peindre mat LB 75 ml - Lefranc Bourgeois","49","","","","https://www.rougier-ple.fr/medium-additif-pigment.r.html","https://www.rougier-ple.fr/medium-additif-pigment.r.html?page=2","","","","","147374","40153","40153","15,382","","2122","621","3,417","97,597","Très facile","8,411","1","0","","404","278","0","100,000","563","268","0","7","7","0","","","","","4b5d4e466d121e1692900e6df476aa0f","1,356","","","","","fr","1.1","","","","","","https://www.rougier-ple.fr/medium-additif-pigment.r.html","2026-03-05 16:58:28"
"https://www.rougier-ple.fr/craie-ardoise-enfant.r.html","text/html;charset=UTF-8","200","OK","Indexable","","Craie, Ardoise, Ardoise magique, Tableau effaçable | Rougier&Plé","64","573","CRAIE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","645","","0","Craie, Ardoise","14","","0","Pavé aquarellable 4.45 x 5 cm - Art Graf","40","Tableau double face Ardoise/Magnétique - JADE","45","","","","https://www.rougier-ple.fr/craie-ardoise-enfant.r.html","","","","","","97176","29191","29191","11,183","","1476","476","3,101","81,430","Facile","9,229","1","0","","406","278","0","100,000","460","239","0","7","7","0","","","","","dfa6c85a74a62a38b35d5dcb8e6745d2","1,698","","","","","fr","1.1","","","","","","https://www.rougier-ple.fr/craie-ardoise-enfant.r.html","2026-03-05 16:58:27"
