"Adresse","Indexabilité","Statut d'indexabilité","Crawl profondeur","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques"
"https://www.rougier-ple.fr/","Indexable","","0","","851","278","0","100,000","284","232","0","8","8","0"
"https://www.rougier-ple.fr/modes-paiement.r.html","Indexable","","1","","278","278","0","100,000","262","221","0","7","7","0"
"https://www.rougier-ple.fr/peinture-textile.r.html","Indexable","","1","","288","278","0","100,000","359","262","0","7","7","0"
"https://www.rougier-ple.fr/medium-additif-pigment.r.html","Indexable","","1","","404","278","0","100,000","563","268","0","7","7","0"
"https://www.rougier-ple.fr/craie-ardoise-enfant.r.html","Indexable","","1","","406","278","0","100,000","460","239","0","7","7","0"
"https://www.rougier-ple.fr/chassis-sur-mesure.r.html","Indexable","","1","","404","278","0","100,000","497","249","0","7","7","0"
"https://www.rougier-ple.fr/peinture-aquarelle.r.html","Indexable","","1","","280","278","0","100,000","281","240","0","7","7","0"
"https://www.rougier-ple.fr/livre-artisanat-art.r.html","Indexable","","1","","405","278","0","100,000","480","244","0","7","7","0"
"https://www.rougier-ple.fr/peinture-1597.r.html","Indexable","","1","","407","278","0","100,000","561","266","0","7","7","0"
"https://www.rougier-ple.fr/linogravure.r.html","Indexable","","1","","279","278","0","100,000","271","230","0","7","7","0"
"https://www.rougier-ple.fr/planche-dessin-compas-equerre.r.html","Indexable","","1","","404","278","0","100,000","562","267","0","7","7","0"
"https://www.rougier-ple.fr/cahier-de-coloriage.r.html","Indexable","","1","","405","278","0","100,000","563","268","0","7","7","0"
"https://www.rougier-ple.fr/marques/dejou.r.html","Indexable","","1","","12","11","0","3,960","666","581","0","7","7","0"
"https://www.rougier-ple.fr/confection-bricolage-enfant.r.html","Indexable","","1","","288","278","0","100,000","423","264","0","7","7","0"
"https://www.rougier-ple.fr/jeux-societe.r.html","Indexable","","1","","407","278","0","100,000","563","268","0","7","7","0"
"https://www.rougier-ple.fr/enfant-vernis-papier-decopatch.r.html","Indexable","","1","","407","278","0","100,000","562","267","0","7","7","0"
"https://www.rougier-ple.fr/couture-mode.r.html","Indexable","","1","","288","278","0","100,000","287","245","0","7","7","0"
"https://www.rougier-ple.fr/jesmonite.r.html","Indexable","","1","","289","278","0","100,000","754","604","0","7","7","0"
"https://www.rougier-ple.fr/fil-metallique.r.html","Indexable","","1","","405","278","0","100,000","560","265","0","7","7","0"
"https://www.rougier-ple.fr/coffret-arts-graphiques.r.html","Indexable","","1","","404","278","0","100,000","560","265","0","7","7","0"
"https://www.rougier-ple.fr/platre-1787.r.html","Indexable","","1","","405","278","0","100,000","492","247","0","7","7","0"
