"Adresse","Occurrences","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Indexabilité","Statut d'indexabilité"
"https://www.rougier-ple.fr/","1","Magasin de fournitures pour les métiers d’art et les loisirs créatifs, Rougier & Plé vous propose plus de 20 000 références produits : Livraison rapide","151","923","Indexable",""
"https://www.rougier-ple.fr/modes-paiement.r.html","1","Paiement par chèque, virement, mandat administratif chez Rougier & Plé","70","452","Indexable",""
"https://www.rougier-ple.fr/peinture-textile.r.html","1","PEINTURE TEXTILE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","119","728","Indexable",""
"https://www.rougier-ple.fr/medium-additif-pigment.r.html","1","MÉDIUM sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","661","Indexable",""
"https://www.rougier-ple.fr/craie-ardoise-enfant.r.html","1","CRAIE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","645","Indexable",""
"https://www.rougier-ple.fr/chassis-sur-mesure.r.html","1","CHÂSSIS SUR MESURE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","121","752","Indexable",""
"https://www.rougier-ple.fr/peinture-aquarelle.r.html","1","Peinture Aquarelle : 
				Fournitures et matériel du rayon 
				Peinture Aquarelle 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","150","805","Indexable",""
"https://www.rougier-ple.fr/livre-artisanat-art.r.html","1","LIVRE D'ARTISANAT D'ART sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","126","776","Indexable",""
"https://www.rougier-ple.fr/peinture-1597.r.html","1","PEINTURE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","111","671","Indexable",""
"https://www.rougier-ple.fr/linogravure.r.html","1","Linogravure : 
				Fournitures et matériel du rayon 
				Linogravure 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","136","723","Indexable",""
"https://www.rougier-ple.fr/planche-dessin-compas-equerre.r.html","1","PLANCHE À DESSIN sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","119","733","Indexable",""
"https://www.rougier-ple.fr/cahier-de-coloriage.r.html","1","CARNET sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","660","Indexable",""
"https://www.rougier-ple.fr/marques/dejou.r.html","1","DEJOU sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","650","Indexable",""
"https://www.rougier-ple.fr/confection-bricolage-enfant.r.html","1","CONFECTION sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","113","692","Indexable",""
"https://www.rougier-ple.fr/jeux-societe.r.html","1","JEU DE SOCIÉTÉ sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","117","711","Indexable",""
"https://www.rougier-ple.fr/enfant-vernis-papier-decopatch.r.html","1","VERNIS COLLE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","115","700","Indexable",""
"https://www.rougier-ple.fr/couture-mode.r.html","1","Mercerie : 
				Fournitures et matériel du rayon 
				Mercerie 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","130","686","Indexable",""
"https://www.rougier-ple.fr/jesmonite.r.html","1","JESMONITE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","112","682","Indexable",""
"https://www.rougier-ple.fr/fil-metallique.r.html","1","FIL MÉTALLIQUE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","117","713","Indexable",""
"https://www.rougier-ple.fr/coffret-arts-graphiques.r.html","1","COFFRET ARTS GRAPHIQUES sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","126","793","Indexable",""
"https://www.rougier-ple.fr/platre-1787.r.html","1","PLÂTRE DE MOULAGE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","120","747","Indexable",""
"https://www.rougier-ple.fr/aquarelle-miel.r.html","1","AQUARELLE AU MIEL sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","120","741","Indexable",""
"https://www.rougier-ple.fr/stylo-effacable.r.html","1","STYLO EFFAÇABLE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","118","727","Indexable",""
"https://www.rougier-ple.fr/livre-beaux-arts.r.html","1","LIVRE BEAUX-ARTS sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","119","730","Indexable",""
"https://www.rougier-ple.fr/livre-loisir.r.html","1","LIVRE LOISIR sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","115","689","Indexable",""
"https://www.rougier-ple.fr/gommette-sticker.r.html","1","GOMMETTE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","111","683","Indexable",""
"https://www.rougier-ple.fr/carnet-de-croquis-1586.r.html","1","CARNET DE CROQUIS sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","120","743","Indexable",""
"https://www.rougier-ple.fr/impression.r.html","1","Impression : 
				Fournitures et matériel du rayon 
				Impression 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","134","716","Indexable",""
"https://www.rougier-ple.fr/machine-de-decoupe.r.html","1","MACHINE DE DÉCOUPE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","121","755","Indexable",""
