"Adresse","Type de contenu","Code HTTP","Statut","Version HTTP","Indexabilité","Statut d'indexabilité","Élément de lien en version canonique 1","Meta Robots 1","Balise X-Robots 1"
"https://www.rougier-ple.fr/","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/","",""
"https://www.rougier-ple.fr/library/layer/menu_item_1.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/library/pictures/home_page/slider/Slider-2026-MoisColart.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/library/css/img/livraison-offerte-mars2026-2.gif","image/gif","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/peinture-1584.r.html","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non indexable","Redirigé","","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-Rougier-2025-S10_03.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/modes-paiement.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/modes-paiement.r.html","",""
"https://www.rougier-ple.fr/peinture-textile.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/peinture-textile.r.html","",""
"https://www.rougier-ple.fr/medium-additif-pigment.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/medium-additif-pigment.r.html","",""
"https://www.rougier-ple.fr/craie-ardoise-enfant.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/craie-ardoise-enfant.r.html","",""
"https://www.rougier-ple.fr/chassis-sur-mesure.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/chassis-sur-mesure.r.html","",""
"https://www.rougier-ple.fr/peinture-aquarelle.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/peinture-aquarelle.r.html","",""
"https://www.rougier-ple.fr/impression-fine-art.r.html","text/html; charset=UTF-8","302","Found","1.1","Non indexable","Redirigé","","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/bandeau-marques_raphael.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/livre-artisanat-art.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/livre-artisanat-art.r.html","",""
"https://www.rougier-ple.fr/library/pictures/footer/Instagram-footer.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/peinture-1597.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/peinture-1597.r.html","",""
"https://www.rougier-ple.fr/linogravure.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/linogravure.r.html","",""
"https://www.rougier-ple.fr/planche-dessin-compas-equerre.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/planche-dessin-compas-equerre.r.html","",""
"https://www.rougier-ple.fr/cahier-de-coloriage.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/cahier-de-coloriage.r.html","",""
"https://www.rougier-ple.fr/marques/dejou.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/marques/dejou.r.html","",""
"https://www.rougier-ple.fr/confection-bricolage-enfant.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/confection-bricolage-enfant.r.html","",""
"https://www.rougier-ple.fr/jeux-societe.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/jeux-societe.r.html","",""
"https://www.rougier-ple.fr/library/layer/menu_item_4.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/enfant-vernis-papier-decopatch.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/enfant-vernis-papier-decopatch.r.html","",""
