"Adresse","Occurrences","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Indexabilité","Statut d'indexabilité"
"https://www.rougier-ple.fr/","1","Rougier&Plé Magasin loisirs créatifs, Fourniture scolaire Beaux Arts","68","597","Indexable",""
"https://www.rougier-ple.fr/modes-paiement.r.html","1","Modes de paiement chez Rougier & Plé - Rougier & Plé","52","479","Indexable",""
"https://www.rougier-ple.fr/peinture-textile.r.html","1","Peinture spéciale textile - Feutre textile - Rougier & Plé","58","473","Indexable",""
"https://www.rougier-ple.fr/medium-additif-pigment.r.html","1","Médium, Additif, Pigment","24","223","Indexable",""
"https://www.rougier-ple.fr/craie-ardoise-enfant.r.html","1","Craie, Ardoise, Ardoise magique, Tableau effaçable | Rougier&Plé","64","573","Indexable",""
"https://www.rougier-ple.fr/chassis-sur-mesure.r.html","1","Châssis sur mesure - Votre châssis sur mesure pour toile | Rougier&Plé","70","629","Indexable",""
"https://www.rougier-ple.fr/peinture-aquarelle.r.html","1","Peinture aquarelle pas cher - Coffret aquarelle - Rougier & Plé","63","538","Indexable",""
"https://www.rougier-ple.fr/livre-artisanat-art.r.html","1","Livre d'artisanat d'art","23","184","Indexable",""
"https://www.rougier-ple.fr/peinture-1597.r.html","1","Peinture enfant, Peinture au doigt, coffrets peinture enfant | Rougier&Plé<br type=""_moz"" />","92","636","Indexable",""
"https://www.rougier-ple.fr/linogravure.r.html","1","Matériel linogravure pas cher - Linogravure maison - Rougier&Plé","64","572","Indexable",""
"https://www.rougier-ple.fr/planche-dessin-compas-equerre.r.html","1","Planche à dessin, compas, équerre","33","307","Indexable",""
"https://www.rougier-ple.fr/cahier-de-coloriage.r.html","1","Carnet de coloriage, Livre de coloriage pour enfant | Rougier&Plé","65","568","Indexable",""
"https://www.rougier-ple.fr/marques/dejou.r.html","1","L'Atelier des fleurs en bois à customiser Dejou | Rougier&Plé<br type=""_moz"" />","79","532","Indexable",""
"https://www.rougier-ple.fr/confection-bricolage-enfant.r.html","1","Matériel pour la confection et le bricolage des enfants","55","475","Indexable",""
"https://www.rougier-ple.fr/jeux-societe.r.html","1","Jeu de société, Jeu éducatif, Jeu de carte, Jouet | Rougier&Plé<br type=""_moz"" />","81","547","Indexable",""
"https://www.rougier-ple.fr/enfant-vernis-papier-decopatch.r.html","1","Vernis colle, Papier décopatch - Activité enfant | Rougier&Plé","62","533","Indexable",""
"https://www.rougier-ple.fr/couture-mode.r.html","1","Mercerie - Tricot, crochet, broderie et couture | Rougier&Plé","61","520","Indexable",""
"https://www.rougier-ple.fr/jesmonite.r.html","1","Retrouvez tous les produits Jesmonite chez Rougier & Plé","56","511","Indexable",""
"https://www.rougier-ple.fr/fil-metallique.r.html","1","Fil métallique","14","118","Indexable",""
"https://www.rougier-ple.fr/coffret-arts-graphiques.r.html","1","Coffret arts graphiques chez Rougier & Plé","42","375","Indexable",""
"https://www.rougier-ple.fr/platre-1787.r.html","1","Plâtre de moulage sur Rougier & Plé","35","317","Indexable",""
"https://www.rougier-ple.fr/aquarelle-miel.r.html","1","Aquarelle au miel : Peinture Beaux-Arts | Rougier&Plé","53","466","Indexable",""
"https://www.rougier-ple.fr/stylo-effacable.r.html","1","Stylo effaçable Legami et Frixion sur Rougier&Plé","49","436","Indexable",""
"https://www.rougier-ple.fr/livre-beaux-arts.r.html","1","Livre Beaux-Arts - achat en ligne de nos Livres","47","405","Indexable",""
"https://www.rougier-ple.fr/livre-loisir.r.html","1","Livre loisir","12","90","Indexable",""
"https://www.rougier-ple.fr/gommette-sticker.r.html","1","Gommette, sticker","17","162","Indexable",""
"https://www.rougier-ple.fr/carnet-de-croquis-1586.r.html","1","Carnet de croquis pas cher - Carnet artiste","43","372","Indexable",""
"https://www.rougier-ple.fr/impression.r.html","1","Matériel pour les techniques d'impression - Rougier&Plé","55","493","Indexable",""
"https://www.rougier-ple.fr/machine-de-decoupe.r.html","1","Machine de découpe électronique et manuelle Rougier&Plé","55","520","Indexable",""
"https://www.rougier-ple.fr/beaux-arts/aquarelle.r.html","1","Aquarelle en godet, demi-godet ou en tube chez Rougier&Plé","58","533","Indexable",""
